Family,Delta,Mean,Std,N
Claude,Δ12,26.51,20.58,102
Claude,Δ23,-10.46,25.38,102
DeepSeek,Δ12,31.27,23.11,102
DeepSeek,Δ23,-7.63,30.31,102
GPT,Δ12,30.04,20.89,170
GPT,Δ23,-6.41,25.75,170
Gemini,Δ12,23.66,23.70,68
Gemini,Δ23,-5.65,27.09,68
Gemma,Δ12,26.59,22.02,136
Gemma,Δ23,-3.57,22.82,136
Llama,Δ12,34.32,22.57,204
Llama,Δ23,-7.02,27.44,204
Mistral,Δ12,31.27,23.50,136
Mistral,Δ23,-6.43,28.11,136
Other,Δ12,30.25,25.62,170
Other,Δ23,-5.52,27.33,170
Phi,Δ12,16.72,25.80,68
Phi,Δ23,-2.28,29.17,68
Qwen,Δ12,31.12,21.66,34
Qwen,Δ23,-3.91,26.45,34
