model,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document
Gemini-1.5-pro,art,round_1,0.2950,0.0794,0.0925,0.7647,0.2434,0.4846,0.2445,0.3201,0.4846,12,0,32
Gemini-1.5-pro,art,round_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,12,90,90
Gemini-1.5-pro,art,round_3,0.9610,0.9652,0.9654,0.9973,0.9159,0.9974,0.9871,0.9821,0.9974,39,78,83
Gemini-1.5-pro,beam,round_1,0.2527,0.0210,0.0288,0.7003,0.2607,0.3083,0.0868,0.2105,0.3083,12,25,17
Gemini-1.5-pro,beam,round_2,0.6944,0.5870,0.6244,0.9611,0.6052,0.9314,0.8664,0.8564,0.9314,52,14,24
Gemini-1.5-pro,beam,round_3,0.7760,0.6481,0.6824,0.9766,0.7967,0.9446,0.8937,0.9446,0.9446,12,70,57
Gemini-1.5-pro,buckling,round_1,0.2455,0.0256,0.0422,0.7108,0.2035,0.2696,0.0979,0.1762,0.2696,34,12,20
Gemini-1.5-pro,buckling,round_2,0.8612,0.9001,0.9019,1.0000,0.6427,0.9908,0.9799,0.9908,0.9908,87,69,52
Gemini-1.5-pro,buckling,round_3,0.6223,0.4671,0.4736,0.9532,0.5955,0.8459,0.6920,0.8102,0.8459,54,24,34
Gemini-1.5-pro,cable,round_1,0.3771,0.1288,0.1367,0.7849,0.4580,0.4238,0.2350,0.3267,0.4150,74,0,25
Gemini-1.5-pro,cable,round_2,0.9524,0.9048,0.9081,0.9965,1.0000,1.0000,0.9921,0.9882,1.0000,82,73,73
Gemini-1.5-pro,cable,round_3,0.5246,0.4119,0.4443,0.8053,0.4369,0.6997,0.5930,0.6322,0.6997,79,17,57
Gemini-1.5-pro,camera,round_1,0.2257,0.0214,0.0305,0.5758,0.2751,0.4219,0.1786,0.2630,0.4137,67,10,32
Gemini-1.5-pro,camera,round_2,0.9705,0.9823,0.9830,0.9924,0.9244,0.9954,0.9931,0.9954,0.9954,17,78,57
Gemini-1.5-pro,camera,round_3,0.8370,0.8643,0.8809,0.9725,0.6304,0.9377,0.8959,0.9311,0.9377,17,34,30
Gemini-1.5-pro,citybus,round_1,0.2647,0.0414,0.0485,0.6858,0.2832,0.3404,0.1185,0.1800,0.3404,12,0,25
Gemini-1.5-pro,citybus,round_2,0.8987,0.8847,0.8995,0.9620,0.8487,0.9701,0.9501,0.9552,0.9677,12,47,52
Gemini-1.5-pro,citybus,round_3,0.9939,0.9878,0.9880,1.0000,1.0000,0.9974,0.9948,0.9974,0.9974,72,73,72
Gemini-1.5-pro,curiosity,round_1,0.1266,0.0014,0.0015,0.2188,0.2846,0.0215,0.0054,0.0161,0.0215,15,40,0
Gemini-1.5-pro,curiosity,round_2,0.8190,0.8041,0.8760,0.9431,0.6528,0.9017,0.8549,0.8940,0.9017,69,65,47
Gemini-1.5-pro,curiosity,round_3,0.6841,0.5973,0.6251,0.8927,0.6213,0.8336,0.7586,0.7785,0.8336,60,22,27
Gemini-1.5-pro,feda,round_1,0.2551,0.0382,0.0730,0.7163,0.1928,0.4021,0.1809,0.2392,0.4021,37,0,12
Gemini-1.5-pro,feda,round_2,0.7864,0.5735,0.7993,0.9395,0.8333,0.8362,0.8131,0.8249,0.8362,57,12,27
