Rank,model,ConsensusScore,z_llm_judge,z_code_sim
1,gpt-4o-mini-f3,100.00,4.52,3.85
2,gpt-4o-mini-f1,68.41,2.13,1.99
3,claude-4-sonnet-20250514,55.22,1.57,0.79
4,llama3.3-70b-sft1,50.47,0.59,1.13
5,claude-3-7-sonnet-20250219,46.10,0.66,0.47
6,llama3.3-70b-lora1,43.41,0.16,0.60
7,qwen3-235b-a22b,43.33,0.47,0.29
8,gpt-4o-mini,42.59,0.39,0.27
9,llama3.1-8b-lora1,41.86,-0.01,0.57
10,pe_gpt-4o-mini,41.83,0.30,0.25
11,pe_llama-3.1-70b-instruct,41.79,0.13,0.42
12,pe_llama-3.1-405b-instruct,41.72,0.27,0.27
13,llama4_scout,41.49,0.26,0.24
14,llama-3.3-70b-instruct,41.45,0.30,0.20
15,llama4_maverick,41.14,0.30,0.16
16,llama3.1-8b-f1,40.91,-0.05,0.48
17,pe_deepseek-r1-32b,40.65,0.22,0.17
18,llama4-109b-lora1,40.59,0.04,0.35
19,llama-3.1-405b-instruct,40.34,-0.01,0.37
20,gpt-4.1-mini,40.27,0.37,-0.02
21,gpt-4.1,39.97,0.12,0.18
22,Gemini-1.5-pro,39.75,0.01,0.26
23,pe_llama-3.3-70b-instruct,39.46,0.11,0.12
24,pe_llama-3.1-8b-instruct,38.84,-0.01,0.16
25,deepseek-r1,38.38,-0.15,0.24
26,pe_llama4_maverick,38.20,-0.08,0.14
27,codestral-22b-instruct-v0.1,38.10,-0.20,0.25
28,gpt-4.1-nano,37.72,0.04,-0.04
29,mixtral-8x22b-instruct-v0.1,37.65,-0.04,0.03
30,o3,37.38,1.12,-1.17
31,mistral-large-latest,37.21,-0.25,0.19
32,deepseek-r1-32b,37.11,-0.08,0.00
33,gemma-2-27b-it,36.04,-0.27,0.05
34,Gemini-2.5-pro,35.50,0.36,-0.66
35,pe_deepseek-r1-8b,34.76,-0.35,-0.05
36,llama-3.1-8b-instruct,34.69,-0.23,-0.17
37,llama-3.1-70b-instruct,34.45,0.09,-0.53
38,nemotron-4-340b-instruct,34.03,-0.63,0.14
39,gpt-4o,33.37,-0.81,0.23
40,o4-mini,32.57,0.46,-1.15
41,claude-3-5-sonnet,31.85,-0.84,0.05
42,mistral-nemo-12b-instruct,31.64,-0.42,-0.39
43,gemma-2-9b-it,30.24,-0.88,-0.12
44,deepseek-r1-8b,30.22,-0.79,-0.21
45,mixtral-8x7b-instruct-v0.1,29.41,-0.22,-0.90
46,gemma-2-2b-it,24.63,-1.26,-0.50
47,gemma-3-1b-it,20.36,-1.80,-0.53
48,mamba-codestral-7b-v0.1,19.69,-1.14,-1.28
49,phi-3-mini-128k-instruct,17.37,-1.77,-0.96
50,pe_llama4_scout,9.07,-0.02,-3.83
51,phi-3-medium-128k-instruct,0.00,-2.67,-2.40
