Rank, model                      , ConsensusScore, Score Document, Score Reference, Score Ref+Doc, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
   1, llama4-maverick            ,         100.00,          79.16,           15.87,          6.82,     0.60,              0.51,                       0.54,               0.85,                 0.48,   0.77,   0.66,   0.68,      0.77
   2, gpt-4.1-nano               ,          99.80,          81.52,           16.12,          7.16,     0.60,              0.48,                       0.51,               0.84,                 0.55,   0.72,   0.60,   0.64,      0.72
   3, llama-3.1-8b-instruct      ,          87.32,          65.84,           14.34,          6.28,     0.59,              0.50,                       0.52,               0.81,                 0.52,   0.68,   0.58,   0.61,      0.68
   4, gpt-4o-mini                ,          86.77,          79.07,           13.92,          6.44,     0.61,              0.52,                       0.53,               0.84,                 0.53,   0.72,   0.62,   0.66,      0.72
   5, mixtral-8x22b-instruct-v0.1,          83.22,          74.59,           13.34,          6.41,     0.62,              0.53,                       0.55,               0.84,                 0.54,   0.72,   0.61,   0.65,      0.72
   6, llama4-scout               ,          76.15,          63.09,           12.52,          6.36,     0.60,              0.51,                       0.52,               0.80,                 0.52,   0.69,   0.59,   0.62,      0.69
   7, gemma-2-27b-it             ,          74.72,          72.71,           12.26,          6.70,     0.59,              0.51,                       0.52,               0.83,                 0.47,   0.70,   0.61,   0.63,      0.70
   8, deepseek-r1                ,          71.14,          53.68,           11.91,          7.81,     0.56,              0.46,                       0.49,               0.77,                 0.47,   0.70,   0.60,   0.62,      0.70
   9, mixtral-8x7b-instruct-v0.1 ,          66.71,          65.62,           11.68,          6.10,     0.53,              0.45,                       0.47,               0.74,                 0.45,   0.63,   0.54,   0.57,      0.63
  10, llama-3.3-70b-instruct     ,          58.35,          79.23,            9.75,          6.91,     0.58,              0.49,                       0.51,               0.81,                 0.49,   0.70,   0.59,   0.62,      0.70
  11, phi-3-medium-128k-instruct ,          56.46,          52.72,           11.02,          4.82,     0.47,              0.35,                       0.41,               0.70,                 0.37,   0.52,   0.43,   0.47,      0.52
  12, gpt-4.1-mini               ,          55.41,          83.33,           15.80,          7.25,     0.25,              0.00,                       0.00,               0.02,                 0.00,   0.00,   0.00,   0.00,      0.00
  13, phi-3-mini-128k-instruct   ,          54.61,          56.85,           10.06,          4.72,     0.50,              0.41,                       0.44,               0.76,                 0.38,   0.61,   0.52,   0.55,      0.61
  14, deepseek-r1-32b            ,          22.03,           6.56,           10.21,          7.25,     0.30,              0.00,                       0.00,               0.21,                 0.00,   0.00,   0.00,   0.00,      0.00
  15, mamba-codestral-7b-v0.1    ,          14.98,           6.13,            9.09,          7.19,     0.30,              0.00,                       0.00,               0.21,                 0.00,   0.00,   0.00,   0.00,      0.00
  16, gemma-2-2b-it              ,          14.14,           6.50,            8.96,          7.06,     0.30,              0.00,                       0.00,               0.21,                 0.00,   0.00,   0.00,   0.00,      0.00
  17, gemma-3-1b-it              ,           1.59,           4.02,            6.98,          9.05,     0.30,              0.00,                       0.00,               0.21,                 0.00,   0.00,   0.00,   0.00,      0.00
  18, deepseek-r1-8b             ,           0.71,           6.35,            6.84,          7.02,     0.30,              0.00,                       0.00,               0.21,                 0.00,   0.00,   0.00,   0.00,      0.00
  19, mistral-nemo-12b-instruct  ,           0.60,           6.27,            6.82,          7.09,     0.30,              0.00,                       0.00,               0.21,                 0.00,   0.00,   0.00,   0.00,      0.00
  20, qwen3-235b-a22b            ,           0.00,           4.41,            6.72,          8.65,     0.30,              0.00,                       0.00,               0.21,                 0.00,   0.00,   0.00,   0.00,      0.00
