model,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm,avg_rank
claude-4-sonnet-20250514,0.6550,0.5370,0.5875,0.8911,0.5948,0.7821,0.6831,0.6885,0.7811,0.5521,0.3868,0.4918,1.2500
claude-3-7-sonnet-20250219,0.6273,0.4994,0.5317,0.8737,0.5847,0.7629,0.6423,0.6697,0.7616,0.5464,0.3643,0.4334,5.6667
qwen3-235b-a22b,0.6114,0.5064,0.5328,0.8483,0.5481,0.7542,0.6440,0.6729,0.7530,0.5463,0.3150,0.4212,8.1667
gpt-4.1,0.6022,0.4863,0.5224,0.8616,0.5287,0.7722,0.6450,0.6733,0.7709,0.5538,0.3379,0.3989,8.4167
llama4_maverick,0.6001,0.5084,0.5582,0.8547,0.4692,0.7654,0.6575,0.6787,0.7644,0.4401,0.3288,0.4106,8.9167
deepseek-r1,0.6070,0.4950,0.5144,0.8548,0.5443,0.7715,0.6528,0.6813,0.7700,0.5388,0.3227,0.3817,9.2083
gpt-4o-mini,0.6097,0.5189,0.5350,0.8376,0.5374,0.7244,0.6225,0.6598,0.7232,0.4366,0.3414,0.4161,9.6667
llama-3.3-70b-instruct,0.6034,0.5219,0.5405,0.8406,0.5009,0.7355,0.6242,0.6585,0.7347,0.4186,0.3373,0.4108,10.7500
llama-3.1-405b-instruct,0.6182,0.5310,0.5485,0.8275,0.5561,0.7201,0.6247,0.6569,0.7196,0.3803,0.3309,0.3904,11.0833
Gemini-1.5-pro,0.6090,0.5114,0.5364,0.8382,0.5402,0.7277,0.6236,0.6512,0.7267,0.4271,0.3294,0.3921,11.4167
gpt-4o,0.6064,0.4923,0.5134,0.8554,0.5547,0.7588,0.6480,0.6815,0.7581,0.4936,0.2828,0.3390,11.5833
mistral-large-latest,0.6025,0.5016,0.5232,0.8445,0.5308,0.7410,0.6314,0.6670,0.7397,0.4393,0.3328,0.3750,12.0000
llama4_scout,0.6074,0.5132,0.5331,0.8410,0.5328,0.7220,0.6101,0.6439,0.7206,0.3785,0.3377,0.4082,12.4167
gpt-4.1-mini,0.5840,0.4566,0.4963,0.8513,0.5218,0.7368,0.6087,0.6471,0.7356,0.5388,0.3161,0.4149,14.7917
claude-3-5-sonnet,0.5906,0.4760,0.4948,0.8493,0.5327,0.7579,0.6394,0.6738,0.7568,0.5278,0.2585,0.3375,14.8333
codestral-22b-instruct-v0.1,0.6080,0.5187,0.5388,0.8364,0.5283,0.6996,0.6093,0.6454,0.6990,0.3970,0.3243,0.3786,14.8333
nemotron-4-340b-instruct,0.5979,0.4913,0.5250,0.8412,0.5244,0.7194,0.6129,0.6448,0.7187,0.3987,0.3040,0.3509,16.5833
mixtral-8x22b-instruct-v0.1,0.5887,0.5195,0.5424,0.7953,0.4877,0.6677,0.6008,0.6245,0.6673,0.3686,0.3378,0.3888,17.8333
llama-3.1-70b-instruct,0.5400,0.5138,0.5320,0.6735,0.3327,0.7101,0.6085,0.6445,0.7096,0.3944,0.3333,0.3969,19.0833
gemma-2-27b-it,0.5902,0.5003,0.5193,0.8337,0.4978,0.7106,0.6080,0.6379,0.7097,0.3655,0.2926,0.3738,19.5000
gpt-4.1-nano,0.5828,0.4721,0.5055,0.8360,0.5079,0.7095,0.5933,0.6295,0.7084,0.3875,0.3070,0.3937,20.0000
deepseek-r1-32b,0.5861,0.4857,0.5071,0.8308,0.5110,0.6964,0.5840,0.6224,0.6956,0.3357,0.3301,0.3861,20.5000
o3,0.4837,0.3271,0.3561,0.8225,0.4194,0.7100,0.5455,0.5873,0.7085,0.6661,0.3684,0.4632,21.1667
o4-mini,0.4854,0.3234,0.3442,0.8152,0.4492,0.7136,0.5514,0.6047,0.7114,0.5426,0.3461,0.4205,21.1667
llama-3.1-8b-instruct,0.5710,0.4903,0.5244,0.7619,0.4584,0.6567,0.5720,0.5988,0.6559,0.3451,0.3112,0.3763,23.5000
Gemini-2.5-pro,0.5281,0.3738,0.4434,0.8235,0.4619,0.6697,0.5373,0.5677,0.6681,0.6199,0.3084,0.4146,23.5000
gemma-2-9b-it,0.5755,0.4895,0.5109,0.8198,0.4719,0.6889,0.5911,0.6267,0.6884,0.3044,0.2939,0.3346,23.5833
deepseek-r1-8b,0.5675,0.4661,0.4876,0.7932,0.4935,0.6514,0.5595,0.5880,0.6503,0.2668,0.2627,0.3403,26.6667
mistral-nemo-12b-instruct,0.5515,0.4437,0.4694,0.7888,0.4552,0.6489,0.5525,0.5842,0.6483,0.3181,0.2975,0.3642,27.2500
mixtral-8x7b-instruct-v0.1,0.5075,0.4157,0.4591,0.7312,0.4142,0.6254,0.5362,0.5720,0.6245,0.3074,0.3443,0.3772,27.5833
gemma-3-1b-it,0.5399,0.4643,0.4896,0.7790,0.3875,0.6439,0.5638,0.6029,0.6432,0.2825,0.2562,0.2755,28.8333
gemma-2-2b-it,0.5421,0.4593,0.4846,0.7860,0.4285,0.6416,0.5563,0.5955,0.6407,0.2437,0.2745,0.3107,28.8333
mamba-codestral-7b-v0.1,0.4735,0.3863,0.4125,0.7229,0.3623,0.5680,0.4921,0.5196,0.5674,0.2794,0.2942,0.3183,32.1667
phi-3-mini-128k-instruct,0.5017,0.3858,0.4482,0.7607,0.4022,0.5829,0.5006,0.5342,0.5822,0.2381,0.2464,0.2776,32.2500
phi-3-medium-128k-instruct,0.3757,0.2407,0.2640,0.5523,0.2593,0.3973,0.3123,0.3505,0.3965,0.1971,0.1999,0.2201,35.0000
