rank,model,consensus_score,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,deepseek-r1,100.0,52.6,44.73,43.37,0.63,0.53,0.55,0.86,0.54,0.79,0.67,0.7,0.79
2,qwen3-235b-a22b,92.54,49.6,44.74,44.23,0.6,0.51,0.53,0.84,0.52,0.75,0.64,0.67,0.75
3,llama4_maverick,82.32,45.98,42.62,39.86,0.59,0.51,0.54,0.85,0.47,0.77,0.66,0.68,0.77
4,llama-3.1-405b-instruct,82.26,41.98,44.64,42.29,0.62,0.53,0.55,0.84,0.55,0.73,0.63,0.66,0.72
5,codestral-22b-instruct-v0.1,79.49,43.17,44.49,41.78,0.6,0.51,0.55,0.84,0.51,0.71,0.61,0.64,0.71
6,llama-3.1-70b-instruct,76.96,41.24,43.58,42.54,0.59,0.5,0.52,0.83,0.51,0.72,0.6,0.64,0.72
7,llama-3.3-70b-instruct,75.8,41.97,42.82,39.62,0.6,0.51,0.53,0.83,0.53,0.73,0.62,0.66,0.73
8,mixtral-8x22b-instruct-v0.1,73.84,39.27,42.14,41.11,0.61,0.53,0.54,0.84,0.54,0.72,0.62,0.65,0.72
9,llama4_scout,69.98,38.71,42.29,40.68,0.59,0.5,0.52,0.83,0.51,0.71,0.61,0.64,0.71
10,deepseek-r1-32b,69.83,37.07,43.04,41.72,0.59,0.5,0.52,0.83,0.49,0.71,0.6,0.63,0.71
11,gemma-2-27b-it,64.35,38.45,39.73,38.62,0.59,0.51,0.53,0.83,0.5,0.71,0.61,0.64,0.71
12,llama-3.1-8b-instruct,53.39,35.45,38.84,36.88,0.59,0.5,0.52,0.81,0.5,0.67,0.58,0.61,0.67
13,mixtral-8x7b-instruct-v0.1,52.68,34.6,39.39,36.45,0.58,0.49,0.51,0.79,0.48,0.68,0.57,0.61,0.68
14,mistral-nemo-12b-instruct,50.07,34.04,38.49,36.38,0.56,0.47,0.49,0.81,0.47,0.68,0.57,0.61,0.68
15,gemma-2-9b-it,48.94,34.71,36.81,35.89,0.57,0.48,0.51,0.81,0.46,0.68,0.59,0.62,0.68
16,deepseek-r1-8b,42.27,30.42,36.76,35.26,0.58,0.47,0.5,0.81,0.49,0.66,0.57,0.6,0.66
17,gemma-2-2b-it,35.25,30.62,34.84,33.02,0.55,0.47,0.5,0.8,0.43,0.66,0.57,0.61,0.65
18,mamba-codestral-7b-v0.1,34.12,36.04,34.73,33.35,0.52,0.44,0.46,0.79,0.38,0.63,0.55,0.57,0.63
19,gemma-3-1b-it,25.18,31.22,31.78,30.22,0.53,0.45,0.48,0.77,0.4,0.64,0.56,0.6,0.64
20,phi-3-medium-128k-instruct,15.18,26.16,29.9,28.83,0.54,0.47,0.49,0.76,0.44,0.63,0.55,0.57,0.63
21,phi-3-mini-128k-instruct,0.0,26.11,28.24,26.13,0.49,0.37,0.42,0.74,0.4,0.58,0.49,0.53,0.58
