rank,model,consensus_score,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,deepseek-r1,100.0,49.33,43.96,40.92,0.62,0.52,0.54,0.86,0.54,0.78,0.67,0.69,0.78
2,qwen3-235b-a22b,99.77,49.2,44.77,42.81,0.61,0.51,0.53,0.84,0.54,0.75,0.64,0.68,0.75
3,llama4_maverick,97.17,45.99,43.89,41.55,0.59,0.5,0.54,0.85,0.46,0.76,0.65,0.67,0.76
4,llama-3.1-405b-instruct,95.17,40.09,45.45,41.93,0.62,0.53,0.55,0.84,0.55,0.72,0.62,0.66,0.72
5,gemma-3-27b-it,93.73,40.96,42.53,40.84,0.6,0.5,0.53,0.85,0.52,0.74,0.62,0.66,0.74
6,llama-3.3-70b-instruct,93.17,40.6,41.97,41.48,0.6,0.51,0.53,0.84,0.51,0.73,0.62,0.65,0.73
7,codestral-22b-instruct-v0.1,92.97,42.21,44.37,41.62,0.59,0.48,0.54,0.83,0.5,0.69,0.59,0.62,0.69
8,llama4_scout,92.7,40.69,42.88,41.85,0.59,0.5,0.52,0.84,0.51,0.71,0.61,0.64,0.71
9,mixtral-8x22b-instruct-v0.1,92.64,38.48,42.06,41.73,0.62,0.53,0.55,0.84,0.54,0.71,0.62,0.65,0.71
10,llama-3.1-70b-instruct,92.57,39.63,41.67,40.32,0.6,0.52,0.54,0.84,0.51,0.73,0.62,0.66,0.73
11,gemma-2-27b-it,91.88,41.67,41.33,39.54,0.6,0.5,0.52,0.84,0.51,0.72,0.61,0.64,0.72
12,deepseek-r1-32b,88.81,37.19,41.58,37.72,0.6,0.5,0.52,0.83,0.52,0.7,0.59,0.63,0.7
13,llama-3.1-8b-instruct,86.57,35.64,39.17,37.14,0.6,0.51,0.53,0.82,0.52,0.69,0.59,0.62,0.69
14,mistral-nemo-12b-instruct,85.38,36.08,38.66,37.6,0.56,0.47,0.49,0.81,0.47,0.68,0.57,0.61,0.68
15,mixtral-8x7b-instruct-v0.1,82.37,33.04,38.2,35.09,0.56,0.49,0.51,0.77,0.46,0.67,0.57,0.61,0.67
16,deepseek-r1-8b,81.93,30.7,37.77,35.23,0.58,0.48,0.5,0.82,0.48,0.67,0.57,0.61,0.67
17,gemma-2-2b-it,77.49,29.82,33.72,31.88,0.55,0.47,0.49,0.79,0.43,0.66,0.57,0.61,0.66
18,gemma-3-1b-it,76.64,32.29,34.55,29.37,0.54,0.46,0.49,0.78,0.42,0.64,0.56,0.6,0.64
19,mamba-codestral-7b-v0.1,75.58,31.38,34.02,32.09,0.52,0.44,0.46,0.79,0.38,0.63,0.55,0.57,0.63
20,gemma-2-9b-it,73.14,27.56,26.45,27.9,0.57,0.49,0.51,0.81,0.46,0.68,0.58,0.62,0.68
21,phi-3-mini-128k-instruct,69.27,28.91,32.32,29.1,0.48,0.37,0.43,0.73,0.38,0.58,0.49,0.52,0.58
22,phi-3-medium-128k-instruct,64.52,22.42,22.72,21.1,0.55,0.48,0.5,0.77,0.44,0.65,0.56,0.58,0.65
23,mistral-medium-3-instruct,44.27,0.0,0.0,0.0,0.62,0.52,0.54,0.86,0.56,0.76,0.64,0.67,0.76
24,mistral-small-3.1-24b-instruct-2503,42.87,0.0,0.0,0.0,0.61,0.51,0.53,0.84,0.53,0.73,0.62,0.65,0.73
25,qwen3-7b-instuct,39.01,0.0,0.0,0.0,0.56,0.46,0.48,0.82,0.48,0.67,0.57,0.61,0.67
26,qwq-32b,38.89,0.0,0.0,0.0,0.55,0.41,0.45,0.84,0.5,0.69,0.56,0.61,0.69
27,phi-4-mini-instruct,0.0,0.0,0.0,0.0,0.14,0.04,0.05,0.21,0.22,0.08,0.05,0.07,0.08
