model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
qwen3-235b-a22b,49.196,44.775,42.814,0.611,0.507,0.533,0.848,0.548,0.754,0.644,0.673,0.753,100.0,1,1.778,0.984,1.046,0.859,0.94,0.861
deepseek-r1,49.33,43.961,40.925,0.597,0.491,0.507,0.853,0.53,0.768,0.648,0.676,0.767,97.14,2,1.798,0.842,0.706,0.616,1.089,0.905
llama4_maverick,45.989,43.885,41.549,0.601,0.509,0.559,0.855,0.47,0.766,0.658,0.679,0.764,94.9,3,1.296,0.829,0.819,0.67,1.064,0.934
llama-3.1-405b-instruct,40.089,45.448,41.928,0.619,0.528,0.548,0.844,0.548,0.726,0.625,0.659,0.725,90.77,4,0.411,1.101,0.887,0.997,0.633,0.685
mistral-large-latest,43.383,44.216,40.317,0.603,0.502,0.524,0.843,0.533,0.74,0.63,0.665,0.738,90.56,5,0.905,0.886,0.597,0.71,0.781,0.766
codestral-22b-instruct-v0.1,42.209,44.373,41.621,0.608,0.519,0.539,0.836,0.529,0.7,0.609,0.645,0.699,89.55,6,0.729,0.913,0.832,0.802,0.339,0.515
llama4_scout,40.693,42.876,41.853,0.607,0.513,0.533,0.841,0.532,0.722,0.61,0.644,0.721,87.44,7,0.501,0.652,0.873,0.789,0.586,0.498
gemma-3-27b-it,40.96,42.531,40.843,0.606,0.505,0.525,0.853,0.532,0.74,0.622,0.66,0.739,87.22,8,0.541,0.592,0.692,0.765,0.787,0.702
llama-3.3-70b-instruct,40.605,41.974,41.477,0.604,0.522,0.541,0.841,0.501,0.736,0.624,0.659,0.735,86.71,9,0.488,0.495,0.806,0.725,0.734,0.68
mixtral-8x22b-instruct-v0.1,38.478,42.062,41.729,0.611,0.524,0.544,0.838,0.518,0.702,0.61,0.644,0.702,84.11,10,0.169,0.511,0.851,0.85,0.366,0.501
gemma-2-27b-it,41.671,41.33,39.539,0.59,0.5,0.519,0.834,0.498,0.711,0.609,0.638,0.71,83.01,11,0.648,0.383,0.457,0.49,0.466,0.428
llama-3.1-70b-instruct,39.628,41.673,40.324,0.54,0.514,0.532,0.674,0.332,0.71,0.609,0.645,0.71,80.35,12,0.341,0.443,0.598,-0.383,0.457,0.508
nemotron-4-340b-instruct,39.236,40.928,38.778,0.593,0.491,0.525,0.841,0.506,0.719,0.613,0.644,0.718,80.16,13,0.283,0.313,0.32,0.541,0.552,0.504
deepseek-r1-32b,37.191,41.581,37.722,0.583,0.468,0.508,0.821,0.525,0.677,0.564,0.602,0.677,74.91,14,-0.024,0.427,0.131,0.362,0.092,-0.03
llama-3.1-8b-instruct,35.636,39.168,37.135,0.576,0.507,0.524,0.761,0.461,0.663,0.579,0.606,0.662,69.83,15,-0.258,0.006,0.025,0.236,-0.062,0.023
mistral-nemo-12b-instruct,36.077,38.66,37.602,0.551,0.444,0.47,0.788,0.455,0.649,0.553,0.584,0.648,68.02,16,-0.192,-0.082,0.109,-0.186,-0.22,-0.253
mixtral-8x7b-instruct-v0.1,33.037,38.196,35.085,0.518,0.432,0.473,0.74,0.419,0.64,0.548,0.584,0.639,60.45,17,-0.648,-0.163,-0.344,-0.76,-0.318,-0.255
deepseek-r1-8b,30.7,37.774,35.229,0.565,0.46,0.488,0.787,0.493,0.645,0.553,0.581,0.644,60.19,18,-0.999,-0.237,-0.318,0.044,-0.258,-0.288
gemma-3-1b-it,32.294,34.552,29.371,0.54,0.465,0.49,0.779,0.388,0.644,0.564,0.603,0.643,51.6,19,-0.76,-0.799,-1.371,-0.381,-0.275,-0.018
gemma-2-2b-it,29.82,33.716,31.882,0.542,0.459,0.485,0.785,0.429,0.642,0.557,0.596,0.641,51.01,20,-1.131,-0.944,-0.92,-0.352,-0.297,-0.107
mamba-codestral-7b-v0.1,31.379,34.023,32.091,0.474,0.386,0.417,0.724,0.357,0.57,0.492,0.519,0.57,45.46,21,-0.897,-0.891,-0.882,-1.539,-1.085,-1.075
phi-3-mini-128k-instruct,28.907,32.315,29.096,0.501,0.386,0.448,0.759,0.402,0.583,0.501,0.534,0.582,40.36,22,-1.268,-1.188,-1.421,-1.059,-0.947,-0.88
gemma-2-9b-it,27.564,26.451,27.896,0.467,0.32,0.335,0.535,0.315,0.446,0.385,0.408,0.446,22.46,23,-1.47,-2.211,-1.637,-1.657,-2.454,-2.464
phi-3-medium-128k-instruct,22.421,22.719,21.104,0.382,0.246,0.269,0.553,0.261,0.399,0.319,0.354,0.399,0.0,24,-2.242,-2.861,-2.858,-3.139,-2.969,-3.141
