model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
deepseek-r1,52.595,44.732,43.373,0.629,0.528,0.546,0.86,0.54,0.787,0.675,0.698,0.786,100.0,1,2.21,1.11,1.192,1.429,1.915,1.85
qwen3-235b-a22b,49.596,44.744,44.232,0.602,0.509,0.528,0.844,0.517,0.751,0.641,0.67,0.75,92.54,2,1.769,1.113,1.368,0.674,1.186,1.138
llama4_maverick,45.979,42.619,39.856,0.594,0.509,0.539,0.853,0.467,0.771,0.661,0.682,0.77,82.32,3,1.236,0.681,0.474,0.454,1.588,1.435
llama-3.1-405b-instruct,41.982,44.637,42.29,0.622,0.534,0.549,0.842,0.553,0.725,0.626,0.658,0.724,82.26,4,0.647,1.091,0.971,1.235,0.65,0.827
codestral-22b-instruct-v0.1,43.175,44.493,41.777,0.604,0.506,0.547,0.842,0.512,0.711,0.613,0.645,0.71,79.49,5,0.823,1.062,0.866,0.737,0.351,0.484
llama-3.1-70b-instruct,41.242,43.575,42.536,0.595,0.503,0.522,0.834,0.511,0.718,0.603,0.641,0.717,76.96,6,0.538,0.875,1.021,0.465,0.508,0.383
llama-3.3-70b-instruct,41.974,42.817,39.623,0.605,0.513,0.535,0.834,0.528,0.733,0.623,0.659,0.733,75.8,7,0.646,0.721,0.426,0.756,0.815,0.841
mixtral-8x22b-instruct-v0.1,39.267,42.136,41.111,0.615,0.527,0.544,0.841,0.538,0.72,0.617,0.651,0.719,73.84,8,0.247,0.583,0.73,1.035,0.537,0.646
llama4_scout,38.708,42.294,40.676,0.592,0.498,0.519,0.832,0.512,0.712,0.607,0.638,0.711,69.98,9,0.164,0.615,0.642,0.401,0.379,0.306
deepseek-r1-32b,37.07,43.036,41.716,0.591,0.504,0.517,0.828,0.495,0.707,0.597,0.63,0.706,69.83,10,-0.077,0.766,0.854,0.349,0.28,0.118
gemma-2-27b-it,38.455,39.726,38.62,0.594,0.507,0.526,0.834,0.499,0.714,0.611,0.641,0.713,64.35,11,0.127,0.093,0.222,0.45,0.415,0.382
llama-3.1-8b-instruct,35.445,38.842,36.879,0.587,0.499,0.522,0.814,0.503,0.673,0.576,0.608,0.673,53.39,12,-0.316,-0.086,-0.134,0.243,-0.411,-0.435
mixtral-8x7b-instruct-v0.1,34.601,39.391,36.451,0.578,0.494,0.512,0.794,0.483,0.679,0.574,0.612,0.678,52.68,13,-0.441,0.025,-0.221,-0.007,-0.286,-0.343
mistral-nemo-12b-instruct,34.041,38.487,36.379,0.565,0.47,0.493,0.811,0.475,0.681,0.573,0.612,0.68,50.07,14,-0.523,-0.158,-0.236,-0.385,-0.254,-0.329
gemma-2-9b-it,34.714,36.813,35.889,0.568,0.484,0.506,0.81,0.464,0.684,0.586,0.621,0.683,48.94,15,-0.424,-0.498,-0.336,-0.285,-0.19,-0.123
deepseek-r1-8b,30.42,36.758,35.265,0.581,0.473,0.499,0.814,0.488,0.661,0.566,0.597,0.66,42.27,16,-1.057,-0.509,-0.463,0.069,-0.669,-0.712
gemma-2-2b-it,30.624,34.837,33.021,0.551,0.475,0.496,0.795,0.427,0.655,0.569,0.606,0.654,35.25,17,-1.026,-0.9,-0.921,-0.785,-0.781,-0.485
mamba-codestral-7b-v0.1,36.042,34.732,33.346,0.517,0.436,0.462,0.786,0.376,0.629,0.545,0.57,0.628,34.12,18,-0.228,-0.921,-0.855,-1.721,-1.326,-1.399
gemma-3-1b-it,31.219,31.781,30.216,0.529,0.449,0.478,0.774,0.397,0.636,0.556,0.597,0.636,25.18,19,-0.939,-1.521,-1.494,-1.383,-1.168,-0.718
phi-3-medium-128k-instruct,26.159,29.898,28.827,0.539,0.466,0.485,0.757,0.439,0.631,0.546,0.572,0.63,15.18,20,-1.684,-1.903,-1.778,-1.109,-1.287,-1.35
phi-3-mini-128k-instruct,26.111,28.242,26.134,0.486,0.368,0.425,0.744,0.396,0.583,0.491,0.526,0.582,0.0,21,-1.691,-2.239,-2.328,-2.622,-2.251,-2.513
