model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
qwen3-235b-a22b,49.196,44.775,42.814,0.611,0.507,0.533,0.848,0.548,0.754,0.644,0.673,0.753,100.0,1,1.219,0.822,0.846,0.698,0.789,0.754
deepseek-r1,49.33,43.961,40.925,0.597,0.491,0.507,0.853,0.53,0.768,0.648,0.676,0.767,98.65,2,1.227,0.771,0.722,0.636,0.838,0.769
llama4_maverick,45.989,43.885,41.549,0.601,0.509,0.559,0.855,0.47,0.766,0.658,0.679,0.764,97.26,3,1.014,0.767,0.763,0.65,0.83,0.778
llama-3.1-405b-instruct,40.089,45.448,41.928,0.619,0.528,0.548,0.844,0.548,0.726,0.625,0.659,0.725,94.7,4,0.636,0.864,0.788,0.734,0.686,0.697
codestral-22b-instruct-v0.1,42.209,44.373,41.621,0.608,0.519,0.539,0.836,0.529,0.7,0.609,0.645,0.699,94.38,5,0.772,0.797,0.768,0.684,0.587,0.641
llama4_scout,40.693,42.876,41.853,0.607,0.513,0.533,0.841,0.532,0.722,0.61,0.644,0.721,93.21,6,0.675,0.703,0.783,0.68,0.67,0.636
gemma-3-27b-it,40.96,42.531,40.843,0.606,0.505,0.525,0.853,0.532,0.74,0.622,0.66,0.739,93.08,7,0.692,0.682,0.717,0.674,0.737,0.702
llama-3.3-70b-instruct,40.605,41.974,41.477,0.604,0.522,0.541,0.841,0.501,0.736,0.624,0.659,0.735,92.83,8,0.669,0.647,0.758,0.664,0.719,0.695
mixtral-8x22b-instruct-v0.1,38.478,42.062,41.729,0.611,0.524,0.544,0.838,0.518,0.702,0.61,0.644,0.702,91.39,9,0.533,0.653,0.775,0.696,0.596,0.637
gemma-2-27b-it,41.671,41.33,39.539,0.59,0.5,0.519,0.834,0.498,0.711,0.609,0.638,0.71,91.21,10,0.737,0.607,0.631,0.604,0.63,0.613
llama-3.1-70b-instruct,39.628,41.673,40.324,0.54,0.514,0.532,0.674,0.332,0.71,0.609,0.645,0.71,90.04,11,0.607,0.628,0.682,0.379,0.627,0.639
deepseek-r1-32b,37.191,41.581,37.722,0.583,0.468,0.508,0.821,0.525,0.677,0.564,0.602,0.677,86.97,12,0.451,0.623,0.511,0.571,0.505,0.463
llama-3.1-8b-instruct,35.636,39.168,37.135,0.576,0.507,0.524,0.761,0.461,0.663,0.579,0.606,0.662,84.39,13,0.351,0.472,0.472,0.538,0.453,0.481
mistral-nemo-12b-instruct,36.077,38.66,37.602,0.551,0.444,0.47,0.788,0.455,0.649,0.553,0.584,0.648,83.74,14,0.38,0.44,0.503,0.43,0.4,0.391
mixtral-8x7b-instruct-v0.1,33.037,38.196,35.085,0.518,0.432,0.473,0.74,0.419,0.64,0.548,0.584,0.639,79.95,15,0.185,0.411,0.338,0.282,0.367,0.39
deepseek-r1-8b,30.7,37.774,35.229,0.565,0.46,0.488,0.787,0.493,0.645,0.553,0.581,0.644,79.35,16,0.036,0.384,0.347,0.489,0.387,0.379
gemma-3-1b-it,32.294,34.552,29.371,0.54,0.465,0.49,0.779,0.388,0.644,0.564,0.603,0.643,75.31,17,0.138,0.183,-0.038,0.38,0.382,0.468
gemma-2-2b-it,29.82,33.716,31.882,0.542,0.459,0.485,0.785,0.429,0.642,0.557,0.596,0.641,74.84,18,-0.021,0.13,0.127,0.387,0.374,0.439
mamba-codestral-7b-v0.1,31.379,34.023,32.091,0.474,0.386,0.417,0.724,0.357,0.57,0.492,0.519,0.57,72.84,19,0.079,0.15,0.141,0.082,0.11,0.123
phi-3-mini-128k-instruct,28.907,32.315,29.096,0.501,0.386,0.448,0.759,0.402,0.583,0.501,0.534,0.582,69.9,20,-0.079,0.043,-0.057,0.205,0.156,0.186
gemma-2-9b-it,27.564,26.451,27.896,0.467,0.32,0.335,0.535,0.315,0.446,0.385,0.408,0.446,61.49,21,-0.165,-0.324,-0.136,0.052,-0.349,-0.33
phi-3-medium-128k-instruct,22.421,22.719,21.104,0.382,0.246,0.269,0.553,0.261,0.399,0.319,0.354,0.399,50.59,22,-0.494,-0.558,-0.583,-0.329,-0.521,-0.551
mistral-medium-3-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,-1.928,-1.979,-1.972,-2.037,-1.995,-2.0
mistral-small-3.1-24b-instruct-2503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,-1.928,-1.979,-1.972,-2.037,-1.995,-2.0
phi-4-mini-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,-1.928,-1.979,-1.972,-2.037,-1.995,-2.0
qwen3-7b-instuct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,-1.928,-1.979,-1.972,-2.037,-1.995,-2.0
qwq-32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,-1.928,-1.979,-1.972,-2.037,-1.995,-2.0
