rank,model,consensus_score,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,llama4_maverick,100.0,45.99,43.89,41.55,0.61,0.51,0.55,0.86,0.5,0.78,0.66,0.69,0.77
2,qwen3-235b-a22b,99.76,49.2,44.77,42.81,0.59,0.47,0.5,0.81,0.51,0.71,0.6,0.63,0.71
3,llama-3.1-405b-instruct,94.03,40.09,45.45,41.93,0.62,0.53,0.55,0.84,0.55,0.73,0.62,0.66,0.73
4,mistral-large-latest,93.76,43.38,44.22,40.32,0.6,0.5,0.52,0.84,0.53,0.74,0.63,0.67,0.74
5,codestral-22b-instruct-v0.1,92.26,42.21,44.37,41.62,0.61,0.52,0.54,0.84,0.53,0.7,0.61,0.65,0.7
6,deepseek-r1,91.47,49.33,43.96,40.92,0.55,0.43,0.45,0.74,0.46,0.68,0.57,0.59,0.68
7,gemma-3-27b-it,89.74,40.96,42.53,40.84,0.61,0.51,0.54,0.84,0.53,0.73,0.61,0.65,0.73
8,llama-3.3-70b-instruct,89.39,40.6,41.97,41.48,0.6,0.52,0.54,0.84,0.5,0.74,0.62,0.66,0.73
9,llama4_scout,89.22,40.69,42.88,41.85,0.6,0.51,0.52,0.83,0.52,0.71,0.61,0.64,0.71
10,mixtral-8x22b-instruct-v0.1,86.25,38.48,42.06,41.73,0.61,0.52,0.54,0.84,0.52,0.7,0.61,0.64,0.7
11,gemma-2-27b-it,84.82,41.67,41.33,39.54,0.59,0.5,0.52,0.83,0.5,0.71,0.61,0.64,0.71
12,nemotron-4-340b-instruct,81.79,39.24,40.93,38.78,0.59,0.49,0.53,0.84,0.51,0.72,0.61,0.64,0.72
13,llama-3.1-70b-instruct,81.37,39.63,41.67,40.32,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
14,deepseek-r1-32b,75.21,37.19,41.58,37.72,0.58,0.47,0.51,0.82,0.52,0.68,0.56,0.6,0.68
15,llama-3.1-8b-instruct,69.44,35.64,39.17,37.14,0.58,0.51,0.52,0.76,0.46,0.66,0.58,0.61,0.66
16,mistral-nemo-12b-instruct,66.9,36.08,38.66,37.6,0.55,0.44,0.47,0.79,0.45,0.65,0.55,0.58,0.65
17,deepseek-r1-8b,58.28,30.7,37.77,35.23,0.56,0.46,0.49,0.79,0.49,0.65,0.55,0.58,0.64
18,mixtral-8x7b-instruct-v0.1,57.42,33.04,38.2,35.09,0.52,0.44,0.47,0.75,0.43,0.63,0.53,0.57,0.63
19,gemma-3-1b-it,48.65,32.29,34.55,29.37,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.6,0.64
20,gemma-2-2b-it,47.92,29.82,33.72,31.88,0.54,0.46,0.48,0.78,0.43,0.64,0.56,0.6,0.64
21,mamba-codestral-7b-v0.1,39.9,31.38,34.02,32.09,0.47,0.39,0.42,0.72,0.35,0.57,0.49,0.52,0.57
22,phi-3-mini-128k-instruct,34.78,28.91,32.32,29.1,0.5,0.39,0.45,0.76,0.4,0.58,0.5,0.53,0.58
23,gemma-2-9b-it,12.59,27.56,26.45,27.9,0.47,0.32,0.33,0.53,0.32,0.45,0.38,0.41,0.45
24,phi-3-medium-128k-instruct,0.0,22.42,22.72,21.1,0.46,0.33,0.42,0.72,0.36,0.52,0.43,0.46,0.51
