model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
deepseek-r1,50.853,46.189,44.732,0.622,0.52,0.542,0.863,0.544,0.783,0.669,0.686,0.781,100.0,1,1.808,0.98,1.034,0.646,0.857,0.709
qwen3-235b-a22b,49.995,45.605,45.271,0.607,0.508,0.527,0.844,0.538,0.753,0.644,0.679,0.752,98.56,2,1.695,0.899,1.113,0.474,0.621,0.645
mistral-medium-3-instruct,43.49,47.346,45.274,0.622,0.52,0.545,0.858,0.556,0.759,0.644,0.671,0.758,96.05,3,0.844,1.139,1.113,0.649,0.663,0.567
llama-3.1-405b-instruct,39.951,45.219,42.418,0.62,0.531,0.55,0.842,0.55,0.724,0.624,0.657,0.723,89.89,4,0.382,0.847,0.697,0.628,0.384,0.44
llama4_maverick,44.425,41.997,40.801,0.59,0.498,0.535,0.854,0.462,0.763,0.651,0.675,0.762,89.73,5,0.967,0.404,0.461,0.285,0.702,0.602
llama-3.3-70b-instruct,41.32,42.807,42.334,0.599,0.511,0.532,0.836,0.507,0.732,0.619,0.651,0.731,88.69,6,0.561,0.515,0.685,0.388,0.446,0.386
mistral-small-3.1-24b-instruct-2503,40.864,43.36,40.709,0.609,0.515,0.535,0.843,0.531,0.732,0.621,0.655,0.731,87.97,7,0.501,0.591,0.448,0.493,0.449,0.424
llama-3.1-70b-instruct,39.024,43.115,41.977,0.605,0.519,0.537,0.84,0.513,0.732,0.618,0.659,0.731,87.56,8,0.26,0.558,0.633,0.449,0.453,0.465
codestral-22b-instruct-v0.1,41.115,42.876,42.137,0.591,0.48,0.538,0.834,0.501,0.688,0.587,0.624,0.687,87.14,9,0.534,0.525,0.656,0.292,0.095,0.148
mixtral-8x22b-instruct-v0.1,38.606,42.143,41.585,0.618,0.529,0.547,0.841,0.535,0.715,0.616,0.65,0.714,86.3,10,0.206,0.424,0.576,0.597,0.311,0.384
gemma-3-27b-it,38.457,41.918,40.183,0.603,0.505,0.525,0.849,0.522,0.741,0.623,0.657,0.74,85.33,11,0.186,0.393,0.372,0.428,0.519,0.442
qwq-32b,47.712,39.585,37.261,0.55,0.407,0.453,0.835,0.495,0.688,0.56,0.605,0.686,84.56,12,1.397,0.073,-0.054,-0.163,0.095,-0.023
gemma-2-27b-it,38.98,41.317,39.958,0.596,0.502,0.522,0.84,0.512,0.716,0.607,0.641,0.715,84.32,13,0.255,0.311,0.339,0.356,0.32,0.302
llama4_scout,37.083,42.079,40.48,0.593,0.499,0.517,0.836,0.51,0.71,0.607,0.636,0.709,83.75,14,0.006,0.415,0.415,0.317,0.272,0.257
deepseek-r1-32b,36.789,42.793,40.045,0.598,0.502,0.516,0.825,0.521,0.704,0.593,0.625,0.703,83.59,15,-0.032,0.513,0.351,0.381,0.229,0.16
llama-3.1-8b-instruct,35.603,40.678,38.85,0.597,0.512,0.53,0.82,0.516,0.69,0.589,0.623,0.689,80.48,16,-0.187,0.223,0.177,0.365,0.116,0.141
mixtral-8x7b-instruct-v0.1,36.338,40.653,38.444,0.565,0.487,0.507,0.772,0.464,0.667,0.572,0.607,0.666,79.29,17,-0.091,0.22,0.118,0.005,-0.069,-0.004
mistral-nemo-12b-instruct,35.665,40.74,37.961,0.565,0.471,0.493,0.811,0.472,0.684,0.574,0.614,0.683,79.0,18,-0.179,0.232,0.048,0.0,0.066,0.058
gemma-2-9b-it,34.542,36.778,36.074,0.567,0.487,0.508,0.809,0.455,0.683,0.585,0.619,0.682,74.72,19,-0.326,-0.312,-0.227,0.031,0.056,0.101
qwen3-7b-instuct,34.483,36.487,36.912,0.563,0.457,0.481,0.822,0.484,0.674,0.566,0.605,0.673,74.61,20,-0.334,-0.352,-0.105,-0.012,-0.011,-0.021
deepseek-r1-8b,30.046,35.121,35.722,0.581,0.484,0.504,0.816,0.48,0.671,0.574,0.609,0.67,70.72,21,-0.914,-0.54,-0.278,0.183,-0.04,0.016
mamba-codestral-7b-v0.1,35.559,36.177,33.334,0.517,0.436,0.462,0.786,0.376,0.629,0.545,0.57,0.628,70.35,22,-0.193,-0.395,-0.626,-0.526,-0.376,-0.338
gemma-2-2b-it,30.843,34.84,34.239,0.551,0.472,0.493,0.795,0.433,0.662,0.571,0.612,0.661,69.28,23,-0.81,-0.578,-0.494,-0.155,-0.112,0.037
gemma-3-1b-it,33.598,33.265,30.151,0.542,0.459,0.491,0.783,0.415,0.639,0.559,0.597,0.638,66.41,24,-0.449,-0.795,-1.09,-0.251,-0.296,-0.099
phi-3-medium-128k-instruct,26.395,32.711,30.631,0.549,0.481,0.497,0.766,0.445,0.647,0.561,0.584,0.646,62.17,25,-1.392,-0.871,-1.02,-0.168,-0.229,-0.214
phi-3-mini-128k-instruct,24.702,29.278,27.773,0.479,0.37,0.426,0.733,0.375,0.581,0.492,0.524,0.58,53.5,26,-1.613,-1.342,-1.436,-0.963,-0.756,-0.75
phi-4-mini-instruct,13.479,9.343,10.81,0.143,0.039,0.049,0.207,0.216,0.079,0.052,0.071,0.079,0.0,27,-3.081,-4.079,-3.906,-4.728,-4.763,-4.832
