model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
deepseek-r1,49.33,43.961,40.925,0.622,0.52,0.542,0.863,0.544,0.783,0.669,0.686,0.781,100.0,1,1.227,0.771,0.722,0.646,0.857,0.709
qwen3-235b-a22b,49.196,44.775,42.814,0.607,0.508,0.527,0.844,0.538,0.753,0.644,0.679,0.752,99.77,2,1.219,0.822,0.846,0.474,0.621,0.645
llama4_maverick,45.989,43.885,41.549,0.59,0.498,0.535,0.854,0.462,0.763,0.651,0.675,0.762,97.17,3,1.014,0.767,0.763,0.285,0.702,0.602
llama-3.1-405b-instruct,40.089,45.448,41.928,0.62,0.531,0.55,0.842,0.55,0.724,0.624,0.657,0.723,95.17,4,0.636,0.864,0.788,0.628,0.384,0.44
gemma-3-27b-it,40.96,42.531,40.843,0.603,0.505,0.525,0.849,0.522,0.741,0.623,0.657,0.74,93.73,5,0.692,0.682,0.717,0.428,0.519,0.442
llama-3.3-70b-instruct,40.605,41.974,41.477,0.599,0.511,0.532,0.836,0.507,0.732,0.619,0.651,0.731,93.17,6,0.669,0.647,0.758,0.388,0.446,0.386
codestral-22b-instruct-v0.1,42.209,44.373,41.621,0.591,0.48,0.538,0.834,0.501,0.688,0.587,0.624,0.687,92.97,7,0.772,0.797,0.768,0.292,0.095,0.148
llama4_scout,40.693,42.876,41.853,0.593,0.499,0.517,0.836,0.51,0.71,0.607,0.636,0.709,92.7,8,0.675,0.703,0.783,0.317,0.272,0.257
mixtral-8x22b-instruct-v0.1,38.478,42.062,41.729,0.618,0.529,0.547,0.841,0.535,0.715,0.616,0.65,0.714,92.64,9,0.533,0.653,0.775,0.597,0.311,0.384
llama-3.1-70b-instruct,39.628,41.673,40.324,0.605,0.519,0.537,0.84,0.513,0.732,0.618,0.659,0.731,92.57,10,0.607,0.628,0.682,0.449,0.453,0.465
gemma-2-27b-it,41.671,41.33,39.539,0.596,0.502,0.522,0.84,0.512,0.716,0.607,0.641,0.715,91.88,11,0.737,0.607,0.631,0.356,0.32,0.302
deepseek-r1-32b,37.191,41.581,37.722,0.598,0.502,0.516,0.825,0.521,0.704,0.593,0.625,0.703,88.81,12,0.451,0.623,0.511,0.381,0.229,0.16
llama-3.1-8b-instruct,35.636,39.168,37.135,0.597,0.512,0.53,0.82,0.516,0.69,0.589,0.623,0.689,86.57,13,0.351,0.472,0.472,0.365,0.116,0.141
mistral-nemo-12b-instruct,36.077,38.66,37.602,0.565,0.471,0.493,0.811,0.472,0.684,0.574,0.614,0.683,85.38,14,0.38,0.44,0.503,0.0,0.066,0.058
mixtral-8x7b-instruct-v0.1,33.037,38.196,35.085,0.565,0.487,0.507,0.772,0.464,0.667,0.572,0.607,0.666,82.37,15,0.185,0.411,0.338,0.005,-0.069,-0.004
deepseek-r1-8b,30.7,37.774,35.229,0.581,0.484,0.504,0.816,0.48,0.671,0.574,0.609,0.67,81.93,16,0.036,0.384,0.347,0.183,-0.04,0.016
gemma-2-2b-it,29.82,33.716,31.882,0.551,0.472,0.493,0.795,0.433,0.662,0.571,0.612,0.661,77.49,17,-0.021,0.13,0.127,-0.155,-0.112,0.037
gemma-3-1b-it,32.294,34.552,29.371,0.542,0.459,0.491,0.783,0.415,0.639,0.559,0.597,0.638,76.64,18,0.138,0.183,-0.038,-0.251,-0.296,-0.099
mamba-codestral-7b-v0.1,31.379,34.023,32.091,0.517,0.436,0.462,0.786,0.376,0.629,0.545,0.57,0.628,75.58,19,0.079,0.15,0.141,-0.526,-0.376,-0.338
gemma-2-9b-it,27.564,26.451,27.896,0.567,0.487,0.508,0.809,0.455,0.683,0.585,0.619,0.682,73.14,20,-0.165,-0.324,-0.136,0.031,0.056,0.101
phi-3-mini-128k-instruct,28.907,32.315,29.096,0.479,0.37,0.426,0.733,0.375,0.581,0.492,0.524,0.58,69.27,21,-0.079,0.043,-0.057,-0.963,-0.756,-0.75
phi-3-medium-128k-instruct,22.421,22.719,21.104,0.549,0.481,0.497,0.766,0.445,0.647,0.561,0.584,0.646,64.52,22,-0.494,-0.558,-0.583,-0.168,-0.229,-0.214
mistral-medium-3-instruct,0.0,0.0,0.0,0.622,0.52,0.545,0.858,0.556,0.759,0.644,0.671,0.758,44.27,23,-1.928,-1.979,-1.972,0.649,0.663,0.567
mistral-small-3.1-24b-instruct-2503,0.0,0.0,0.0,0.609,0.515,0.535,0.843,0.531,0.732,0.621,0.655,0.731,42.87,24,-1.928,-1.979,-1.972,0.493,0.449,0.424
qwen3-7b-instuct,0.0,0.0,0.0,0.563,0.457,0.481,0.822,0.484,0.674,0.566,0.605,0.673,39.01,25,-1.928,-1.979,-1.972,-0.012,-0.011,-0.021
qwq-32b,0.0,0.0,0.0,0.55,0.407,0.453,0.835,0.495,0.688,0.56,0.605,0.686,38.89,26,-1.928,-1.979,-1.972,-0.163,0.095,-0.023
phi-4-mini-instruct,0.0,0.0,0.0,0.143,0.039,0.049,0.207,0.216,0.079,0.052,0.071,0.079,0.0,27,-1.928,-1.979,-1.972,-4.728,-4.763,-4.832
