Model,ELO_Combined,ELO_LLM_Judge,ELO_Code_Metrics
o3,1689.2972842589809,1911.6869846037926,1522.5050090003715
qwen3-235b-a22b,1657.1978630993904,1837.6300415537191,1521.8737292586432
llama4_scout,1653.7197826218526,1827.1316613088775,1523.6608736065837
claude-3-7-sonnet-20250219,1642.867949113192,1805.521291477942,1520.8779423396302
claude-4-sonnet-20250514,1613.8958942732386,1736.5202484533838,1521.9276286381294
mistral-large-latest,1607.037074884828,1719.9833300181363,1522.3273835348468
mistral-nemo-12b-instruct,1599.7368343129313,1702.6007512542953,1522.588896606908
gemma-2-27b-it,1596.1675504979103,1695.6188445392775,1521.5790799668848
gpt-4o-mini,1591.791580986075,1684.5647036510336,1522.2117389873558
gpt-4.1-mini,1576.7410052991813,1649.9035709742277,1521.8690810428966
o4-mini,1562.8200502829955,1616.571932394803,1522.5061386991401
deepseek-r1,1561.2337423553415,1614.388879750316,1521.3673893091109
llama-3.3-70b-instruct,1551.524564480966,1589.6915846155764,1522.8992993800082
llama4-109b-lora1,1548.9433965477594,1582.9812912718128,1523.4149755047197
mixtral-8x7b-instruct-v0.1,1547.4187089861284,1581.99433215145,1521.4869916121374
Gemini-2.5-pro,1542.8073391819182,1572.521803390848,1520.521491025221
llama4_maverick,1538.6660266954784,1559.1720565630037,1523.2865042948347
gpt-4.1,1536.4495405027635,1555.8648335411037,1521.888070724009
gpt-4.1-nano,1532.9740269230135,1547.5906824511721,1522.0115352768948
llama-3.1-405b-instruct,1532.7619584627953,1546.4631251713956,1522.4860834313452
mixtral-8x22b-instruct-v0.1,1525.955096002376,1530.5784058239278,1522.4876136362118
llama3.3-70b-sft1,1521.0683354439004,1518.125025805497,1523.275817672703
claude-3-5-sonnet,1521.003698511796,1521.1618144698975,1520.8851115432194
nemotron-4-340b-instruct,1518.584726230644,1513.2081537046645,1522.6171556251288
mamba-codestral-7b-v0.1,1509.0596169175762,1503.695402680034,1513.0827775957332
codestral-22b-instruct-v0.1,1508.3711683574604,1491.417200659802,1521.086644130704
llama-3.1-70b-instruct,1507.959810906872,1488.3927248469363,1522.635125451824
gemma-3-1b-it,1500.0846322355949,1470.9837132221394,1521.9103214956863
deepseek-r1-32b,1497.3730736471134,1465.6074995796173,1521.1972541977357
llama-3.1-8b-instruct,1493.7410053994322,1455.0376917937174,1522.7684906037189
llama3.3-70b-lora1,1487.005122931027,1439.1922735578028,1522.864759960945
gemma-2-9b-it,1478.0613741268076,1419.7437718359008,1521.7995758449877
Gemini-1.5-pro,1468.9438210661954,1399.9401027958465,1520.696609768957
gpt-4o,1459.0631160793735,1374.9250587097642,1522.1666591065805
gemma-2-2b-it,1451.3514239232275,1357.5691557241478,1521.6881250725373
phi-3-medium-128k-instruct,1427.8699823237841,1309.7218638650036,1516.4810711678701
phi-3-mini-128k-instruct,1411.8365154065427,1265.2088398923418,1521.8072720421933
llama3.1-8b-lora1,1411.54663135609,1262.8968587090455,1523.0339608413733
deepseek-r1-8b,1403.5403823919332,1246.2786831706846,1521.48665680787
