
    You are a PyChrono expert tasked with generating a simulation script based on the following instructions. Make sure to:
    1. Initialize the PyChrono environment and core components.
    2. Add the required physical systems and objects as specified.
    3. Set necessary default parameters such as positions, forces, and interactions.

    Instructions:
    Create a PyChrono simulation with a Viper rover on a rigid terrain. Set up the Chrono system with gravity and ground body, then initialize the Viper rover and its driver. Create a real-time visualization using Irrlicht with camera settings and lighting. Implement a simulation loop where the rover's steering gradually changes over a specified time period, updating and rendering the rover at each timestep.
     ```python
    chrono.SetChrono().Initialize();
    chrono.SetChrono().SetDataPath(chrono.GetDataFile("chronodata/"));
    chrono.SetChron().SetChronoDataPath(chrono.GetDataFile("chrono/data"));
    sys = chrono.ChSystem();
 sys.Add(sys, chrono.ChBody);
 sys.Add, driver;
 sys.Add, vipersensor;
 sys.Add vipers;
 sys.Add chassi;
 sys.Add ch;
sys.Add v;
sys.Add chassi;
sys.Add ch;
sys.Add v;
sys.Add chassi;
sys ch;
sys.Add ch;
sys.Add chassi;
sys chassi;
sys.Add chsys;
sys chsys chassi;
sys chassi
    sys.Add vipers;
sys.Add chassi;
sys chassi chassi sysassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassiassi
