model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
mixtral-8x22b-instruct-v0.1,80.324,16.66,68.174,0.618,0.532,0.547,0.843,0.54,0.717,0.614,0.648,0.716,100.0,1,2.349,-0.023,0.998,1.573,1.727,1.744
mixtral-8x7b-instruct-v0.1,70.618,11.375,61.885,0.532,0.447,0.471,0.745,0.445,0.631,0.536,0.57,0.63,85.96,2,1.929,-0.417,0.79,1.212,1.443,1.457
llama-3.3-70b-instruct,34.97,34.765,40.569,0.584,0.489,0.512,0.808,0.486,0.701,0.593,0.623,0.7,83.72,3,0.386,1.33,0.082,1.429,1.675,1.651
deepseek-r1,38.441,33.971,33.206,0.564,0.461,0.486,0.772,0.47,0.705,0.603,0.618,0.703,81.83,4,0.536,1.27,-0.162,1.347,1.687,1.633
llama-3.1-8b-instruct,29.435,31.333,34.875,0.593,0.5,0.52,0.81,0.522,0.679,0.577,0.614,0.679,76.69,5,0.146,1.073,-0.107,1.468,1.604,1.619
gemma-2-27b-it,74.064,10.76,10.385,0.585,0.506,0.518,0.833,0.474,0.7,0.607,0.634,0.7,73.03,6,2.078,-0.463,-0.919,1.436,1.674,1.691
phi-3-mini-128k-instruct,28.51,24.088,27.686,0.501,0.405,0.441,0.763,0.385,0.607,0.518,0.548,0.606,64.92,7,0.106,0.532,-0.345,1.082,1.363,1.375
phi-3-medium-128k-instruct,24.441,24.49,27.637,0.467,0.346,0.409,0.701,0.374,0.519,0.433,0.469,0.518,60.39,8,-0.07,0.562,-0.347,0.94,1.073,1.082
mamba-codestral-7b-v0.1,42.157,7.957,88.143,0.303,0.0,0.0,0.211,0.0,0.001,0.0,0.001,0.001,58.12,9,0.697,-0.673,1.661,0.251,-0.643,-0.643
llama-3.1-405b-instruct,38.647,35.716,39.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.89,10,0.545,1.401,0.061,-1.02,-0.646,-0.646
llama4_maverick,39.618,32.804,41.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.68,11,0.587,1.183,0.113,-1.02,-0.646,-0.646
llama-3.1-70b-instruct,35.892,34.157,41.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.98,12,0.426,1.284,0.102,-1.02,-0.646,-0.646
codestral-22b-instruct-v0.1,39.218,32.431,37.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.04,13,0.57,1.155,-0.007,-1.02,-0.646,-0.646
llama4_scout,32.804,33.196,39.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.31,14,0.292,1.213,0.037,-1.02,-0.646,-0.646
gemma-2-9b-it,30.402,32.0,35.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,15,0.188,1.123,-0.095,-1.02,-0.646,-0.646
qwen3-235b-a22b,3.676,8.808,88.296,0.303,0.0,0.0,0.211,0.0,0.001,0.0,0.001,0.001,42.36,16,-0.969,-0.609,1.666,0.251,-0.643,-0.643
gemma-3-1b-it,4.02,6.995,89.859,0.303,0.0,0.0,0.211,0.0,0.001,0.0,0.001,0.001,41.69,17,-0.954,-0.745,1.718,0.251,-0.643,-0.643
gemma-2-2b-it,5.049,6.734,89.091,0.303,0.0,0.0,0.211,0.0,0.001,0.0,0.001,0.001,41.68,18,-0.909,-0.764,1.692,0.251,-0.643,-0.643
mistral-nemo-12b-instruct,4.559,5.023,88.126,0.303,0.0,0.0,0.211,0.0,0.001,0.0,0.001,0.001,39.9,19,-0.931,-0.892,1.66,0.251,-0.643,-0.643
deepseek-r1-32b,24.912,16.828,24.755,0.302,0.0,0.0,0.209,0.0,0.001,0.0,0.001,0.001,36.54,20,-0.05,-0.01,-0.442,0.249,-0.643,-0.643
deepseek-r1-8b,21.76,17.931,20.802,0.303,0.0,0.0,0.211,0.0,0.001,0.0,0.001,0.001,34.72,21,-0.186,0.072,-0.574,0.251,-0.643,-0.643
gemma-3-27b-it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,-1.128,-1.267,-1.264,-1.02,-0.646,-0.646
mistral-medium-3-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,-1.128,-1.267,-1.264,-1.02,-0.646,-0.646
mistral-small-3.1-24b-instruct-2503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,-1.128,-1.267,-1.264,-1.02,-0.646,-0.646
phi-4-mini-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,-1.128,-1.267,-1.264,-1.02,-0.646,-0.646
qwen3-7b-instuct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,-1.128,-1.267,-1.264,-1.02,-0.646,-0.646
qwq-32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,-1.128,-1.267,-1.264,-1.02,-0.646,-0.646
