Model,System,Round,Avg Score Document,Avg Score Reference,Avg Score Ref+Doc,Num Judges
mistral-medium-3-instruct,gator,first,23.33,9.0,20.33,3
mistral-medium-3-instruct,gator,second,37.33,57.67,68.33,3
mistral-medium-3-instruct,gator,third,59.0,86.33,73.67,3
mistral-medium-3-instruct,gear,first,49.0,7.0,18.67,3
mistral-medium-3-instruct,gear,second,31.33,89.67,78.67,3
mistral-medium-3-instruct,gear,third,50.0,44.0,26.67,3
mistral-medium-3-instruct,feda,first,26.0,10.67,26.0,3
mistral-medium-3-instruct,feda,second,49.0,54.33,72.67,3
mistral-medium-3-instruct,feda,third,66.0,53.33,60.67,3
mistral-medium-3-instruct,man,first,28.0,13.33,15.33,3
mistral-medium-3-instruct,man,second,47.33,48.67,44.0,3
mistral-medium-3-instruct,man,third,54.0,34.67,21.33,3
mistral-medium-3-instruct,art,first,26.33,7.5,19.33,3
mistral-medium-3-instruct,art,second,34.33,85.67,68.33,3
mistral-medium-3-instruct,art,third,42.67,65.0,80.67,3
mistral-medium-3-instruct,vehros,first,32.0,18.67,10.0,3
mistral-medium-3-instruct,vehros,second,68.0,40.67,55.33,3
mistral-medium-3-instruct,vehros,third,65.67,37.33,33.67,3
mistral-medium-3-instruct,pendulum,first,61.33,32.0,40.33,3
mistral-medium-3-instruct,pendulum,second,66.33,24.67,42.67,3
mistral-medium-3-instruct,pendulum,third,41.67,68.33,44.67,3
mistral-medium-3-instruct,rigid_highway,first,39.0,29.67,31.0,2
mistral-medium-3-instruct,rigid_highway,second,50.33,77.33,72.0,3
mistral-medium-3-instruct,rigid_highway,third,34.0,88.67,67.33,3
mistral-medium-3-instruct,curiosity,first,25.33,32.67,11.0,3
mistral-medium-3-instruct,curiosity,second,65.0,68.0,57.33,3
mistral-medium-3-instruct,curiosity,third,66.67,50.0,46.0,3
mistral-medium-3-instruct,gps_imu,first,20.0,16.67,25.33,3
mistral-medium-3-instruct,gps_imu,second,53.0,57.67,60.33,3
