rank,model,consensus_score,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,mixtral-8x22b-instruct-v0.1,100.0,80.32,16.66,68.17,0.62,0.53,0.55,0.84,0.54,0.72,0.61,0.65,0.72
2,mixtral-8x7b-instruct-v0.1,85.96,70.62,11.38,61.89,0.53,0.45,0.47,0.74,0.45,0.63,0.54,0.57,0.63
3,llama-3.3-70b-instruct,83.72,34.97,34.76,40.57,0.58,0.49,0.51,0.81,0.49,0.7,0.59,0.62,0.7
4,deepseek-r1,81.83,38.44,33.97,33.21,0.56,0.46,0.49,0.77,0.47,0.7,0.6,0.62,0.7
5,llama-3.1-8b-instruct,76.69,29.43,31.33,34.88,0.59,0.5,0.52,0.81,0.52,0.68,0.58,0.61,0.68
6,gemma-2-27b-it,73.03,74.06,10.76,10.38,0.59,0.51,0.52,0.83,0.47,0.7,0.61,0.63,0.7
7,phi-3-mini-128k-instruct,64.92,28.51,24.09,27.69,0.5,0.41,0.44,0.76,0.38,0.61,0.52,0.55,0.61
8,phi-3-medium-128k-instruct,60.39,24.44,24.49,27.64,0.47,0.35,0.41,0.7,0.37,0.52,0.43,0.47,0.52
9,mamba-codestral-7b-v0.1,58.12,42.16,7.96,88.14,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
10,llama-3.1-405b-instruct,55.89,38.65,35.72,39.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,llama4_maverick,54.68,39.62,32.8,41.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,llama-3.1-70b-instruct,53.98,35.89,34.16,41.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,codestral-22b-instruct-v0.1,53.04,39.22,32.43,37.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,llama4_scout,51.31,32.8,33.2,39.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,gemma-2-9b-it,48.1,30.4,32.0,35.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,qwen3-235b-a22b,42.36,3.68,8.81,88.3,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
17,gemma-3-1b-it,41.69,4.02,6.99,89.86,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
18,gemma-2-2b-it,41.68,5.05,6.73,89.09,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
19,mistral-nemo-12b-instruct,39.9,4.56,5.02,88.13,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
20,deepseek-r1-32b,36.54,24.91,16.83,24.75,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
21,deepseek-r1-8b,34.72,21.76,17.93,20.8,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
22,gemma-3-27b-it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,mistral-medium-3-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,mistral-small-3.1-24b-instruct-2503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,phi-4-mini-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,qwen3-7b-instuct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,qwq-32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
