model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
deepseek-r1,48.546,45.281,43.722,0.629,0.528,0.546,0.86,0.54,0.787,0.675,0.698,0.786,100.0,1,1.822,1.222,1.248,1.429,1.915,1.85
qwen3-235b-a22b,49.109,44.957,44.382,0.602,0.509,0.528,0.844,0.517,0.751,0.641,0.67,0.75,95.18,2,1.914,1.153,1.387,0.674,1.186,1.138
llama4_maverick,45.547,41.52,41.359,0.594,0.509,0.539,0.853,0.467,0.771,0.661,0.682,0.77,84.36,3,1.331,0.418,0.75,0.454,1.588,1.435
llama-3.1-405b-instruct,40.173,44.313,42.298,0.622,0.534,0.549,0.842,0.553,0.725,0.626,0.658,0.724,81.8,4,0.45,1.015,0.948,1.235,0.65,0.827
codestral-22b-instruct-v0.1,43.227,43.759,41.706,0.604,0.506,0.547,0.842,0.512,0.711,0.613,0.645,0.71,80.37,5,0.951,0.897,0.823,0.737,0.351,0.484
llama-3.3-70b-instruct,39.192,42.507,41.796,0.605,0.513,0.535,0.834,0.528,0.733,0.623,0.659,0.733,76.97,6,0.29,0.629,0.842,0.756,0.815,0.841
mixtral-8x22b-instruct-v0.1,38.815,41.985,41.495,0.615,0.527,0.544,0.841,0.538,0.72,0.617,0.651,0.719,74.99,7,0.228,0.517,0.779,1.035,0.537,0.646
llama-3.1-70b-instruct,41.937,42.091,39.921,0.595,0.503,0.522,0.834,0.511,0.718,0.603,0.641,0.717,73.96,8,0.739,0.54,0.447,0.465,0.508,0.383
llama4_scout,37.737,43.146,40.451,0.592,0.498,0.519,0.832,0.512,0.712,0.607,0.638,0.711,71.08,9,0.051,0.765,0.559,0.401,0.379,0.306
gemma-2-27b-it,40.031,41.558,38.987,0.594,0.507,0.526,0.834,0.499,0.714,0.611,0.641,0.713,69.82,10,0.427,0.426,0.25,0.45,0.415,0.382
deepseek-r1-32b,37.956,42.485,39.389,0.591,0.504,0.517,0.828,0.495,0.707,0.597,0.63,0.706,68.14,11,0.087,0.624,0.335,0.349,0.28,0.118
mixtral-8x7b-instruct-v0.1,36.474,39.896,39.166,0.578,0.494,0.512,0.794,0.483,0.679,0.574,0.612,0.678,59.26,12,-0.156,0.07,0.288,-0.007,-0.286,-0.343
mistral-nemo-12b-instruct,35.393,40.157,36.208,0.565,0.47,0.493,0.811,0.475,0.681,0.573,0.612,0.68,53.77,13,-0.333,0.126,-0.335,-0.385,-0.254,-0.329
gemma-2-9b-it,36.08,39.376,35.414,0.568,0.484,0.506,0.81,0.464,0.684,0.586,0.621,0.683,53.38,14,-0.22,-0.041,-0.503,-0.285,-0.19,-0.123
llama-3.1-8b-instruct,34.316,38.477,37.24,0.587,0.499,0.522,0.814,0.503,0.673,0.576,0.608,0.673,52.77,15,-0.509,-0.233,-0.118,0.243,-0.411,-0.435
deepseek-r1-8b,31.936,37.951,36.173,0.581,0.473,0.499,0.814,0.488,0.661,0.566,0.597,0.66,46.4,16,-0.899,-0.346,-0.343,0.069,-0.669,-0.712
mamba-codestral-7b-v0.1,35.155,35.84,34.591,0.517,0.436,0.462,0.786,0.376,0.629,0.545,0.57,0.628,36.49,17,-0.371,-0.797,-0.676,-1.721,-1.326,-1.399
gemma-2-2b-it,30.304,34.8,33.955,0.551,0.475,0.496,0.795,0.427,0.655,0.569,0.606,0.654,35.72,18,-1.166,-1.02,-0.81,-0.785,-0.781,-0.485
gemma-3-1b-it,30.931,30.971,28.984,0.529,0.449,0.478,0.774,0.397,0.636,0.556,0.597,0.636,21.58,19,-1.063,-1.839,-1.858,-1.383,-1.168,-0.718
phi-3-medium-128k-instruct,26.255,31.706,29.644,0.539,0.466,0.485,0.757,0.439,0.631,0.546,0.572,0.63,17.42,20,-1.829,-1.682,-1.719,-1.109,-1.287,-1.35
phi-3-mini-128k-instruct,26.778,28.137,26.902,0.486,0.368,0.425,0.744,0.396,0.583,0.491,0.526,0.582,0.0,21,-1.744,-2.445,-2.297,-2.622,-2.251,-2.513
