Model,System,Round,Avg Score Document,Avg Score Reference,Avg Score Ref+Doc,Num Judges
codestral-22b-instruct-v0.1,art,first,27.0,7.0,19.33,3
codestral-22b-instruct-v0.1,art,second,56.33,86.67,84.0,3
codestral-22b-instruct-v0.1,art,third,59.0,89.67,74.0,3
codestral-22b-instruct-v0.1,beam,first,25.33,11.0,17.67,3
codestral-22b-instruct-v0.1,beam,second,41.33,64.33,39.33,3
codestral-22b-instruct-v0.1,beam,third,34.0,72.0,80.0,3
codestral-22b-instruct-v0.1,buckling,first,37.33,12.33,10.67,3
codestral-22b-instruct-v0.1,buckling,second,40.33,80.33,73.0,3
codestral-22b-instruct-v0.1,buckling,third,79.0,24.33,34.0,2
codestral-22b-instruct-v0.1,cable,first,17.33,15.0,22.0,3
codestral-22b-instruct-v0.1,cable,second,47.0,83.33,60.67,3
codestral-22b-instruct-v0.1,cable,third,58.0,42.0,36.67,3
codestral-22b-instruct-v0.1,camera,first,42.33,36.0,32.0,3
codestral-22b-instruct-v0.1,camera,second,52.67,66.0,57.67,3
codestral-22b-instruct-v0.1,camera,third,28.33,52.0,48.0,3
codestral-22b-instruct-v0.1,citybus,first,29.67,11.0,14.0,3
codestral-22b-instruct-v0.1,citybus,second,65.0,72.0,70.67,3
codestral-22b-instruct-v0.1,citybus,third,49.67,55.33,66.33,3
codestral-22b-instruct-v0.1,curiosity,first,26.0,11.33,8.67,3
codestral-22b-instruct-v0.1,curiosity,second,54.67,65.67,63.33,3
codestral-22b-instruct-v0.1,curiosity,third,39.67,54.0,45.67,3
codestral-22b-instruct-v0.1,feda,first,16.0,37.33,16.33,3
codestral-22b-instruct-v0.1,feda,second,57.33,62.67,58.33,3
codestral-22b-instruct-v0.1,feda,third,55.67,37.33,33.33,3
codestral-22b-instruct-v0.1,gator,first,34.67,23.33,9.67,3
codestral-22b-instruct-v0.1,gator,second,47.0,70.0,67.33,3
codestral-22b-instruct-v0.1,gator,third,30.0,85.33,84.67,3
codestral-22b-instruct-v0.1,gear,first,35.0,25.33,30.33,3
codestral-22b-instruct-v0.1,gear,second,63.0,72.67,86.67,3
codestral-22b-instruct-v0.1,gear,third,48.67,45.67,29.67,3
codestral-22b-instruct-v0.1,gps_imu,first,19.67,11.0,12.0,3
codestral-22b-instruct-v0.1,gps_imu,second,51.33,53.0,48.0,3
codestral-22b-instruct-v0.1,gps_imu,third,56.33,85.33,78.0,3
codestral-22b-instruct-v0.1,handler,first,19.67,20.33,17.0,3
codestral-22b-instruct-v0.1,handler,second,55.33,82.33,68.0,3
codestral-22b-instruct-v0.1,handler,third,78.33,20.0,37.33,3
codestral-22b-instruct-v0.1,hmmwv,first,25.0,10.33,19.0,3
codestral-22b-instruct-v0.1,hmmwv,second,36.33,41.67,36.0,3
codestral-22b-instruct-v0.1,hmmwv,third,51.67,72.33,53.33,3
codestral-22b-instruct-v0.1,kraz,first,47.33,16.67,30.67,3
codestral-22b-instruct-v0.1,kraz,second,37.67,28.67,23.67,3
codestral-22b-instruct-v0.1,kraz,third,42.0,27.33,31.0,3
codestral-22b-instruct-v0.1,lidar,first,52.0,11.33,14.33,3
codestral-22b-instruct-v0.1,lidar,second,24.0,74.33,41.0,3
codestral-22b-instruct-v0.1,lidar,third,16.67,37.0,15.67,3
codestral-22b-instruct-v0.1,m113,first,29.0,11.33,16.67,3
codestral-22b-instruct-v0.1,m113,second,25.67,44.33,46.67,3
codestral-22b-instruct-v0.1,m113,third,45.0,47.0,52.0,3
codestral-22b-instruct-v0.1,man,first,45.67,28.67,16.33,3
codestral-22b-instruct-v0.1,man,second,52.33,64.33,59.67,3
codestral-22b-instruct-v0.1,man,third,37.67,31.67,35.67,3
codestral-22b-instruct-v0.1,mass_spring_damper,first,36.33,28.0,9.0,3
codestral-22b-instruct-v0.1,mass_spring_damper,second,39.67,38.0,46.0,3
codestral-22b-instruct-v0.1,mass_spring_damper,third,44.67,36.0,29.67,3
codestral-22b-instruct-v0.1,particles,first,18.0,13.0,21.0,3
codestral-22b-instruct-v0.1,particles,second,56.67,81.67,74.33,3
codestral-22b-instruct-v0.1,particles,third,81.33,84.67,50.67,3
codestral-22b-instruct-v0.1,pendulum,first,35.67,11.33,13.0,3
codestral-22b-instruct-v0.1,pendulum,second,44.67,39.0,39.67,3
codestral-22b-instruct-v0.1,pendulum,third,47.0,56.33,64.33,3
codestral-22b-instruct-v0.1,rigid_highway,first,28.67,23.67,18.67,3
codestral-22b-instruct-v0.1,rigid_highway,second,63.0,82.33,73.0,3
codestral-22b-instruct-v0.1,rigid_highway,third,35.0,85.33,86.33,3
codestral-22b-instruct-v0.1,rigid_multipatches,first,21.67,28.0,23.0,3
codestral-22b-instruct-v0.1,rigid_multipatches,second,52.33,51.0,43.0,3
codestral-22b-instruct-v0.1,rigid_multipatches,third,48.0,71.0,69.33,3
codestral-22b-instruct-v0.1,rotor,first,27.33,2.0,29.67,3
codestral-22b-instruct-v0.1,rotor,second,44.0,68.33,77.0,3
codestral-22b-instruct-v0.1,rotor,third,51.33,51.33,49.67,3
codestral-22b-instruct-v0.1,scm,first,44.67,3.0,11.0,3
codestral-22b-instruct-v0.1,scm,second,45.67,64.0,35.67,3
codestral-22b-instruct-v0.1,scm,third,50.0,25.33,16.0,3
codestral-22b-instruct-v0.1,scm_hill,first,23.0,19.67,22.0,3
codestral-22b-instruct-v0.1,scm_hill,second,38.33,43.67,48.0,3
codestral-22b-instruct-v0.1,scm_hill,third,46.67,62.67,58.0,3
codestral-22b-instruct-v0.1,sedan,first,20.33,6.67,22.67,3
codestral-22b-instruct-v0.1,sedan,second,43.67,54.33,49.0,3
codestral-22b-instruct-v0.1,sedan,third,41.33,35.67,21.67,3
codestral-22b-instruct-v0.1,sensros,first,23.67,32.33,20.0,3
codestral-22b-instruct-v0.1,sensros,second,19.67,62.33,48.0,3
codestral-22b-instruct-v0.1,sensros,third,47.33,74.33,75.0,3
codestral-22b-instruct-v0.1,slider_crank,first,44.0,20.67,32.67,3
codestral-22b-instruct-v0.1,slider_crank,second,67.67,68.0,51.67,3
codestral-22b-instruct-v0.1,slider_crank,third,36.67,65.67,57.0,3
codestral-22b-instruct-v0.1,tablecloth,first,32.67,11.5,8.0,3
codestral-22b-instruct-v0.1,tablecloth,second,55.0,75.0,60.67,3
codestral-22b-instruct-v0.1,tablecloth,third,52.67,70.67,66.0,3
codestral-22b-instruct-v0.1,turtlebot,first,31.33,34.0,29.33,3
codestral-22b-instruct-v0.1,turtlebot,second,70.33,72.0,68.67,3
codestral-22b-instruct-v0.1,turtlebot,third,48.67,36.67,28.33,3
codestral-22b-instruct-v0.1,uazbus,first,31.67,19.33,20.0,3
codestral-22b-instruct-v0.1,uazbus,second,23.0,61.33,66.33,3
codestral-22b-instruct-v0.1,uazbus,third,35.33,23.0,60.33,3
codestral-22b-instruct-v0.1,vehros,first,23.67,21.67,22.0,3
codestral-22b-instruct-v0.1,vehros,second,38.33,47.67,41.33,3
codestral-22b-instruct-v0.1,vehros,third,75.67,31.33,47.0,3
codestral-22b-instruct-v0.1,veh_app,first,49.0,9.67,19.67,2
codestral-22b-instruct-v0.1,veh_app,second,41.67,34.67,37.67,3
codestral-22b-instruct-v0.1,veh_app,third,21.67,52.67,67.0,3
codestral-22b-instruct-v0.1,viper,first,20.0,9.33,20.0,3
codestral-22b-instruct-v0.1,viper,second,61.33,92.67,86.67,3
codestral-22b-instruct-v0.1,viper,third,61.33,26.33,52.67,3
deepseek-r1,art,first,44.67,32.0,22.67,3
deepseek-r1,art,second,63.33,63.33,70.67,3
deepseek-r1,art,third,46.33,69.0,70.33,3
deepseek-r1,beam,first,33.67,15.0,8.33,3
deepseek-r1,beam,second,35.0,52.33,44.67,3
deepseek-r1,beam,third,79.67,85.0,66.0,3
deepseek-r1,buckling,first,54.67,29.33,22.0,3
deepseek-r1,buckling,second,50.0,67.33,73.33,3
deepseek-r1,buckling,third,36.67,35.0,23.33,3
deepseek-r1,cable,first,57.0,22.33,28.33,3
deepseek-r1,cable,second,54.67,75.33,72.67,3
deepseek-r1,cable,third,46.67,38.33,41.67,3
deepseek-r1,camera,first,44.0,23.67,33.0,3
deepseek-r1,camera,second,20.33,50.0,57.0,3
deepseek-r1,camera,third,49.33,33.67,36.67,3
deepseek-r1,citybus,first,38.67,30.33,36.0,3
deepseek-r1,citybus,second,63.5,68.0,66.67,2
deepseek-r1,citybus,third,50.33,74.0,60.0,3
deepseek-r1,curiosity,first,45.33,39.0,34.67,3
deepseek-r1,curiosity,second,75.33,65.67,63.67,3
deepseek-r1,curiosity,third,58.67,51.0,36.33,3
deepseek-r1,feda,first,58.33,29.67,17.33,3
deepseek-r1,feda,second,50.33,79.0,73.33,3
deepseek-r1,feda,third,55.0,65.0,59.67,3
deepseek-r1,gator,first,65.0,15.33,18.0,3
deepseek-r1,gator,second,53.0,65.0,61.33,3
deepseek-r1,gator,third,65.67,83.0,82.0,3
deepseek-r1,gear,first,39.67,24.33,25.0,3
deepseek-r1,gear,second,66.0,76.0,71.0,3
deepseek-r1,gear,third,58.67,45.33,56.0,3
deepseek-r1,gps_imu,first,46.67,31.33,32.33,3
deepseek-r1,gps_imu,second,33.0,16.67,43.67,3
deepseek-r1,gps_imu,third,46.0,80.0,57.0,3
deepseek-r1,handler,first,42.67,34.0,17.0,3
deepseek-r1,handler,second,60.67,74.0,72.33,3
deepseek-r1,handler,third,65.0,49.33,46.33,3
deepseek-r1,hmmwv,first,47.0,27.67,32.33,3
deepseek-r1,hmmwv,second,49.0,29.33,41.67,3
deepseek-r1,hmmwv,third,50.33,54.33,41.33,3
deepseek-r1,kraz,first,49.0,13.0,27.33,3
deepseek-r1,kraz,second,48.5,46.67,31.67,2
deepseek-r1,kraz,third,61.33,53.0,31.67,3
deepseek-r1,lidar,first,38.67,36.33,20.33,3
deepseek-r1,lidar,second,30.67,38.67,21.67,3
deepseek-r1,lidar,third,48.0,40.0,31.0,3
deepseek-r1,m113,first,40.67,26.0,20.0,3
deepseek-r1,m113,second,68.67,41.33,42.67,3
deepseek-r1,m113,third,44.0,65.67,59.0,3
deepseek-r1,man,first,67.33,41.0,29.0,3
deepseek-r1,man,second,59.33,73.67,49.67,3
deepseek-r1,man,third,55.0,10.0,1.33,3
deepseek-r1,mass_spring_damper,first,35.33,26.0,32.0,3
deepseek-r1,mass_spring_damper,second,59.0,76.33,68.33,3
deepseek-r1,mass_spring_damper,third,57.67,36.33,49.67,3
deepseek-r1,particles,first,52.0,25.33,31.67,3
deepseek-r1,particles,second,58.0,80.0,75.67,3
deepseek-r1,particles,third,45.0,64.67,64.0,3
deepseek-r1,pendulum,first,60.67,40.0,32.67,3
deepseek-r1,pendulum,second,60.33,41.0,26.0,3
deepseek-r1,pendulum,third,63.33,55.0,49.67,3
deepseek-r1,rigid_highway,first,22.33,8.0,26.0,3
deepseek-r1,rigid_highway,second,46.33,62.0,62.0,3
deepseek-r1,rigid_highway,third,47.67,76.67,82.0,3
deepseek-r1,rigid_multipatches,first,73.33,6.0,28.33,3
deepseek-r1,rigid_multipatches,second,46.33,67.33,51.0,3
deepseek-r1,rigid_multipatches,third,66.67,65.67,73.67,3
deepseek-r1,rotor,first,47.67,16.67,33.67,3
deepseek-r1,rotor,second,26.33,63.0,66.33,3
deepseek-r1,rotor,third,33.67,32.5,55.33,3
deepseek-r1,scm,first,62.5,12.33,18.33,2
deepseek-r1,scm,second,53.33,72.5,46.0,3
deepseek-r1,scm,third,55.67,38.33,51.0,3
deepseek-r1,scm_hill,first,52.33,30.33,17.33,3
deepseek-r1,scm_hill,second,29.67,40.0,30.0,3
deepseek-r1,scm_hill,third,66.33,49.33,54.33,3
deepseek-r1,sedan,first,28.33,19.67,15.33,3
deepseek-r1,sedan,second,44.67,43.33,45.0,3
deepseek-r1,sedan,third,61.67,27.67,20.0,3
deepseek-r1,sensros,first,33.0,27.67,28.67,3
deepseek-r1,sensros,second,25.33,45.67,50.33,3
deepseek-r1,sensros,third,38.0,81.67,80.67,3
deepseek-r1,slider_crank,first,56.67,50.67,20.67,3
deepseek-r1,slider_crank,second,48.0,63.0,62.67,3
deepseek-r1,slider_crank,third,44.67,61.67,62.67,3
deepseek-r1,tablecloth,first,68.33,17.33,24.33,3
deepseek-r1,tablecloth,second,49.0,71.33,49.33,3
deepseek-r1,tablecloth,third,58.0,55.0,47.33,3
deepseek-r1,turtlebot,first,62.33,32.67,31.67,3
deepseek-r1,turtlebot,second,60.0,59.33,71.33,3
deepseek-r1,turtlebot,third,77.0,24.67,42.67,3
deepseek-r1,uazbus,first,76.0,34.0,6.33,3
deepseek-r1,uazbus,second,40.67,24.33,29.67,3
deepseek-r1,uazbus,third,45.67,40.0,45.5,3
deepseek-r1,vehros,first,48.67,27.67,19.0,3
deepseek-r1,vehros,second,36.0,48.33,40.0,3
deepseek-r1,vehros,third,42.33,39.33,40.33,3
deepseek-r1,veh_app,first,12.67,30.67,12.0,3
deepseek-r1,veh_app,second,41.33,38.0,46.67,3
deepseek-r1,veh_app,third,35.33,61.33,62.0,3
deepseek-r1,viper,first,56.33,29.0,24.33,3
deepseek-r1,viper,second,76.33,87.33,66.0,3
deepseek-r1,viper,third,58.33,34.67,45.0,3
deepseek-r1-32b,art,first,15.0,20.67,9.67,3
deepseek-r1-32b,art,second,39.67,68.67,89.0,3
deepseek-r1-32b,art,third,27.0,85.0,74.33,3
deepseek-r1-32b,beam,first,23.0,27.0,26.33,3
deepseek-r1-32b,beam,second,46.33,53.67,57.67,3
deepseek-r1-32b,beam,third,40.33,82.67,82.0,3
deepseek-r1-32b,buckling,first,19.67,28.67,12.33,3
deepseek-r1-32b,buckling,second,29.0,77.33,49.67,3
deepseek-r1-32b,buckling,third,64.33,32.33,33.67,3
deepseek-r1-32b,cable,first,11.33,24.0,16.0,3
deepseek-r1-32b,cable,second,57.0,77.67,85.0,3
deepseek-r1-32b,cable,third,63.0,13.67,46.33,3
deepseek-r1-32b,camera,first,9.0,6.33,4.0,3
deepseek-r1-32b,camera,second,41.33,69.33,72.0,3
deepseek-r1-32b,camera,third,28.67,55.67,40.0,3
deepseek-r1-32b,citybus,first,5.67,3.0,4.0,3
deepseek-r1-32b,citybus,second,54.0,56.67,70.33,3
deepseek-r1-32b,citybus,third,41.0,71.0,64.33,3
deepseek-r1-32b,curiosity,first,35.67,11.33,9.0,3
deepseek-r1-32b,curiosity,second,61.33,68.0,63.33,3
deepseek-r1-32b,curiosity,third,56.0,51.33,41.67,3
deepseek-r1-32b,feda,first,14.67,7.33,11.33,3
deepseek-r1-32b,feda,second,62.67,64.0,56.33,3
deepseek-r1-32b,feda,third,46.33,29.33,38.33,3
deepseek-r1-32b,gator,first,16.33,7.0,13.33,3
deepseek-r1-32b,gator,second,56.67,62.33,60.33,3
deepseek-r1-32b,gator,third,58.0,71.0,67.33,3
deepseek-r1-32b,gear,first,48.5,19.67,7.33,2
deepseek-r1-32b,gear,second,55.0,90.33,82.0,3
deepseek-r1-32b,gear,third,55.33,48.33,21.67,3
deepseek-r1-32b,gps_imu,first,17.67,10.0,6.67,3
deepseek-r1-32b,gps_imu,second,47.33,67.0,63.33,3
deepseek-r1-32b,gps_imu,third,50.0,87.67,63.0,3
deepseek-r1-32b,handler,first,16.0,20.0,24.67,3
deepseek-r1-32b,handler,second,48.0,83.33,78.33,3
deepseek-r1-32b,handler,third,52.0,8.67,18.33,3
deepseek-r1-32b,hmmwv,first,22.0,23.33,24.67,3
deepseek-r1-32b,hmmwv,second,15.0,28.33,2.0,2
deepseek-r1-32b,hmmwv,third,27.67,46.67,63.0,3
deepseek-r1-32b,kraz,first,24.67,22.67,23.33,3
deepseek-r1-32b,kraz,second,33.67,31.33,29.67,3
deepseek-r1-32b,kraz,third,35.67,27.33,30.0,3
deepseek-r1-32b,lidar,first,7.67,10.67,6.33,3
deepseek-r1-32b,lidar,second,25.33,42.67,36.0,3
deepseek-r1-32b,lidar,third,28.0,22.0,16.67,3
deepseek-r1-32b,m113,first,19.5,25.0,19.33,2
deepseek-r1-32b,m113,second,32.67,29.33,28.0,3
deepseek-r1-32b,m113,third,25.67,43.33,34.67,3
deepseek-r1-32b,man,first,33.0,31.67,9.33,3
deepseek-r1-32b,man,second,51.67,68.0,61.33,3
deepseek-r1-32b,man,third,47.67,31.67,42.67,3
deepseek-r1-32b,mass_spring_damper,first,29.33,28.0,9.0,3
deepseek-r1-32b,mass_spring_damper,second,21.0,50.67,50.67,3
deepseek-r1-32b,mass_spring_damper,third,59.5,32.33,33.33,2
deepseek-r1-32b,particles,first,28.67,3.67,12.67,3
deepseek-r1-32b,particles,second,67.0,64.33,62.0,3
deepseek-r1-32b,particles,third,56.33,27.67,40.33,3
deepseek-r1-32b,pendulum,first,25.33,4.67,33.0,3
deepseek-r1-32b,pendulum,second,48.0,41.33,33.33,3
deepseek-r1-32b,pendulum,third,49.0,55.67,61.67,3
