rank,model,consensus_score,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,deepseek-r1,100.0,48.55,45.28,43.72,0.63,0.53,0.55,0.86,0.54,0.79,0.67,0.7,0.79
2,qwen3-235b-a22b,98.82,49.11,44.96,44.38,0.6,0.51,0.53,0.84,0.52,0.75,0.64,0.67,0.75
3,mistral-medium-3-instruct,96.69,44.64,45.04,44.24,0.63,0.53,0.55,0.86,0.59,0.77,0.65,0.67,0.76
4,mistral-small-3.1-24b-instruct-2503,92.41,41.07,44.59,43.84,0.61,0.52,0.53,0.85,0.53,0.74,0.63,0.65,0.74
5,llama4_maverick,92.3,45.55,41.52,41.36,0.59,0.51,0.54,0.85,0.47,0.77,0.66,0.68,0.77
6,codestral-22b-instruct-v0.1,90.99,43.23,43.76,41.71,0.6,0.51,0.55,0.84,0.51,0.71,0.61,0.64,0.71
7,llama-3.1-405b-instruct,90.65,40.17,44.31,42.3,0.62,0.53,0.55,0.84,0.55,0.73,0.63,0.66,0.72
8,llama-3.3-70b-instruct,88.12,39.19,42.51,41.8,0.6,0.51,0.53,0.83,0.53,0.73,0.62,0.66,0.73
9,gemma-3-27b-it,87.66,39.33,42.06,41.44,0.61,0.51,0.52,0.85,0.52,0.74,0.62,0.66,0.73
10,llama-3.1-70b-instruct,87.54,41.94,42.09,39.92,0.59,0.5,0.52,0.83,0.51,0.72,0.6,0.64,0.72
11,mixtral-8x22b-instruct-v0.1,87.16,38.82,41.98,41.5,0.61,0.53,0.54,0.84,0.54,0.72,0.62,0.65,0.72
12,llama4_scout,85.56,37.74,43.15,40.45,0.59,0.5,0.52,0.83,0.51,0.71,0.61,0.64,0.71
13,gemma-2-27b-it,85.14,40.03,41.56,38.99,0.59,0.51,0.53,0.83,0.5,0.71,0.61,0.64,0.71
14,qwq-32b,84.38,46.05,38.89,36.96,0.56,0.42,0.45,0.83,0.52,0.7,0.57,0.62,0.7
15,deepseek-r1-32b,84.25,37.96,42.49,39.39,0.59,0.5,0.52,0.83,0.49,0.71,0.6,0.63,0.71
16,mixtral-8x7b-instruct-v0.1,80.17,36.47,39.9,39.17,0.58,0.49,0.51,0.79,0.48,0.68,0.57,0.61,0.68
17,mistral-nemo-12b-instruct,77.27,35.39,40.16,36.21,0.56,0.47,0.49,0.81,0.47,0.68,0.57,0.61,0.68
18,gemma-2-9b-it,76.94,36.08,39.38,35.41,0.57,0.48,0.51,0.81,0.46,0.68,0.59,0.62,0.68
19,llama-3.1-8b-instruct,76.43,34.32,38.48,37.24,0.59,0.5,0.52,0.81,0.5,0.67,0.58,0.61,0.67
20,deepseek-r1-8b,73.13,31.94,37.95,36.17,0.58,0.47,0.5,0.81,0.49,0.66,0.57,0.6,0.66
21,qwen2-7b-instruct,70.92,33.1,35.91,34.51,0.56,0.45,0.48,0.82,0.48,0.66,0.56,0.6,0.66
22,mamba-codestral-7b-v0.1,70.14,35.16,35.84,34.59,0.52,0.44,0.46,0.79,0.38,0.63,0.55,0.57,0.63
23,gemma-2-2b-it,67.64,30.3,34.8,33.95,0.55,0.47,0.5,0.8,0.43,0.66,0.57,0.61,0.65
24,gemma-3-1b-it,60.96,30.93,30.97,28.98,0.53,0.45,0.48,0.77,0.4,0.64,0.56,0.6,0.64
25,phi-3-medium-128k-instruct,58.4,26.26,31.71,29.64,0.54,0.47,0.49,0.76,0.44,0.63,0.55,0.57,0.63
26,phi-3-mini-128k-instruct,51.39,26.78,28.14,26.9,0.49,0.37,0.42,0.74,0.4,0.58,0.49,0.53,0.58
27,phi-4-mini-instruct,0.0,18.08,11.9,11.49,0.18,0.07,0.07,0.23,0.23,0.12,0.08,0.1,0.12
