Model,System,Round,Score Document,Score Reference,Score Ref+Doc
gemma-3-1b-it,art,first,0,5,9
gemma-3-1b-it,art,second,0,10,10
gemma-3-1b-it,art,third,0,5,9
gemma-3-1b-it,beam,first,10,,10
gemma-3-1b-it,beam,second,10,1,10
gemma-3-1b-it,beam,third,0,,10
gemma-3-1b-it,buckling,first,0,,9
gemma-3-1b-it,buckling,second,0,0,9
gemma-3-1b-it,buckling,third,10,2,
gemma-3-1b-it,cable,first,0,2,9
gemma-3-1b-it,cable,second,0,10,9
gemma-3-1b-it,cable,third,10,4,
gemma-3-1b-it,camera,first,0,,8
gemma-3-1b-it,camera,second,0,4,
gemma-3-1b-it,camera,third,20,82,7
gemma-3-1b-it,citybus,first,0,1,10
gemma-3-1b-it,citybus,second,10,0,
gemma-3-1b-it,citybus,third,5,2,8
gemma-3-1b-it,curiosity,first,0,,
gemma-3-1b-it,curiosity,second,10,,10
gemma-3-1b-it,curiosity,third,0,15,10
gemma-3-1b-it,feda,first,10,,9
gemma-3-1b-it,feda,second,0,2,
gemma-3-1b-it,feda,third,0,3,10
gemma-3-1b-it,gator,first,0,0,8
gemma-3-1b-it,gator,second,0,40,
gemma-3-1b-it,gator,third,10,6,9
gemma-3-1b-it,gear,first,0,40,
gemma-3-1b-it,gear,second,10,2,
gemma-3-1b-it,gear,third,0,0,8
gemma-3-1b-it,gps_imu,first,10,2,10
gemma-3-1b-it,gps_imu,second,0,4,9
gemma-3-1b-it,gps_imu,third,10,5,
gemma-3-1b-it,handler,first,0,0,9
gemma-3-1b-it,handler,second,10,,10
gemma-3-1b-it,handler,third,10,5,9
gemma-3-1b-it,hmmwv,first,0,3,9
gemma-3-1b-it,hmmwv,second,0,3,3
gemma-3-1b-it,hmmwv,third,0,1,9
gemma-3-1b-it,kraz,first,10,0,10
gemma-3-1b-it,kraz,second,10,4,10
gemma-3-1b-it,kraz,third,10,45,8
gemma-3-1b-it,lidar,first,10,2,6
