Model,System,Round,Score Document,Score Reference,Score Ref+Doc
gpt-4.1-mini,art,first,70,4,6
gpt-4.1-mini,art,second,85,5,
gpt-4.1-mini,art,third,85,0,8
gpt-4.1-mini,beam,first,90,,7
gpt-4.1-mini,beam,second,85,65,
gpt-4.1-mini,beam,third,85,5,8
gpt-4.1-nano,art,first,75,3,4
gpt-4.1-nano,art,second,85,,9
gpt-4.1-nano,art,third,85,7,9
gpt-4.1-nano,beam,first,75,3,4
gpt-4.1-nano,beam,second,85,2,10
gpt-4.1-nano,beam,third,85,65,9
gpt-4.1-nano,buckling,first,75,,5
gpt-4.1-nano,buckling,second,85,3,8
gpt-4.1-nano,buckling,third,85,4,
gpt-4.1-nano,cable,first,85,3,7
gpt-4.1-nano,cable,second,85,5,9
gpt-4.1-nano,cable,third,85,4,8
gpt-4.1-nano,camera,first,75,3,7
gpt-4.1-nano,camera,second,75,4,5
gpt-4.1-nano,camera,third,85,4,5
gpt-4.1-nano,citybus,first,75,,
gpt-4.1-nano,citybus,second,85,,9
gpt-4.1-nano,citybus,third,85,6,9
gpt-4.1-nano,curiosity,first,75,3,6
gpt-4.1-nano,curiosity,second,85,2,8
gpt-4.1-nano,curiosity,third,85,4,
gpt-4.1-nano,feda,first,75,0,7
gpt-4.1-nano,feda,second,90,65,8
gpt-4.1-nano,feda,third,85,60,
gpt-4.1-nano,gator,first,70,3,5
gpt-4.1-nano,gator,second,90,5,8
gpt-4.1-nano,gator,third,85,5,
gpt-4.1-nano,gear,first,75,8,6
gpt-4.1-nano,gear,second,75,2,
gpt-4.1-nano,gear,third,75,4,
gpt-4.1-nano,gps_imu,first,85,4,6
gpt-4.1-nano,gps_imu,second,90,60,
gpt-4.1-nano,gps_imu,third,85,75,9
gpt-4.1-nano,handler,first,75,3,6
gpt-4.1-nano,handler,second,85,7,9
gpt-4.1-nano,handler,third,75,4,
gpt-4.1-nano,hmmwv,first,70,2,6
gpt-4.1-nano,hmmwv,second,85,4,8
gpt-4.1-nano,hmmwv,third,85,65,8
gpt-4.1-nano,kraz,first,70,2,3
gpt-4.1-nano,kraz,second,85,1,9
gpt-4.1-nano,kraz,third,85,,
gpt-4.1-nano,lidar,first,75,3,
gpt-4.1-nano,lidar,second,70,4,5
gpt-4.1-nano,lidar,third,70,30,7
gpt-4.1-nano,m113,first,70,3,7
gpt-4.1-nano,m113,second,85,3,
gpt-4.1-nano,m113,third,85,4,9
gpt-4.1-nano,man,first,70,2,4
gpt-4.1-nano,man,second,85,4,
gpt-4.1-nano,man,third,85,5,8
gpt-4.1-nano,mass_spring_damper,first,85,4,7
gpt-4.1-nano,mass_spring_damper,second,85,4,9
gpt-4.1-nano,mass_spring_damper,third,85,2,8
gpt-4.1-nano,particles,first,70,2,
gpt-4.1-nano,particles,second,85,70,9
gpt-4.1-nano,particles,third,85,2,
gpt-4.1-nano,pendulum,first,85,1,7
gpt-4.1-nano,pendulum,second,85,2,5
gpt-4.1-nano,pendulum,third,85,65,7
gpt-4.1-nano,rigid_highway,first,80,3,6
gpt-4.1-nano,rigid_highway,second,85,1,9
gpt-4.1-nano,rigid_highway,third,85,60,9
gpt-4.1-nano,rigid_multipatches,first,65,3,
gpt-4.1-nano,rigid_multipatches,second,70,5,
gpt-4.1-nano,rigid_multipatches,third,85,3,7
gpt-4.1-nano,rotor,first,75,3,
gpt-4.1-nano,rotor,second,85,65,8
gpt-4.1-nano,rotor,third,85,65,
gpt-4.1-nano,scm,first,85,3,
gpt-4.1-nano,scm,second,85,65,
gpt-4.1-nano,scm,third,85,4,9
gpt-4.1-nano,scm_hill,first,80,,5
gpt-4.1-nano,scm_hill,second,85,65,
gpt-4.1-nano,scm_hill,third,85,5,
gpt-4.1-nano,sedan,first,60,1,5
gpt-4.1-nano,sedan,second,85,4,7
gpt-4.1-nano,sedan,third,85,4,
gpt-4.1-nano,sensros,first,75,3,
gpt-4.1-nano,sensros,second,85,65,
gpt-4.1-nano,sensros,third,85,65,
gpt-4.1-nano,slider_crank,first,85,4,7
gpt-4.1-nano,slider_crank,second,85,5,8
gpt-4.1-nano,slider_crank,third,85,4,
gpt-4.1-nano,tablecloth,first,85,4,6
gpt-4.1-nano,tablecloth,second,85,,9
gpt-4.1-nano,tablecloth,third,85,65,8
gpt-4.1-nano,turtlebot,first,85,2,
gpt-4.1-nano,turtlebot,second,85,65,
gpt-4.1-nano,turtlebot,third,85,5,
