Rank,model,ConsensusScore,System,Round,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f3,100.00,,,38.03,66.94,68.03,0.38,0.31,0.32,0.34,0.30,0.34,0.33,0.34,0.34
2,gpt-4o-mini-f2,60.45,,,35.13,51.92,55.72,,,,,,,,,
3,gpt-4o-mini-f1,51.04,,,37.34,49.54,52.79,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86
4,pe_gpt-4o-mini,13.84,,,52.30,34.92,41.22,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76
5,pe_llama-3.1-405b-instruct,12.73,,,41.83,34.97,40.87,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75
6,pe_deepseek-r1-32b,10.70,,,46.31,35.19,40.24,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75
7,pe_llama-3.3-70b-instruct,10.34,,,48.55,35.38,40.13,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74
8,pe_llama-3.1-70b-instruct,9.61,,,43.69,34.87,39.90,,,,,,,,,
9,pe_llama-3.1-8b-instruct,6.90,,,37.23,33.19,39.06,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72
10,pe_llama4_scout,6.74,,,48.25,34.07,39.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,llama3.1-8b-f1,6.01,,,34.56,33.09,38.78,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74
12,pe_llama4_maverick,5.55,,,43.54,31.74,38.64,,,,,,,,,
13,llama4_scout,0.00,,,,,,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
14,mamba-codestral-7b-v0.1,0.00,,,,,,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57
15,mistral-large-latest,0.00,,,,,,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74
16,mistral-nemo-12b-instruct,0.00,,,,,,0.55,0.44,0.47,0.79,0.46,0.65,0.55,0.58,0.65
17,llama4_maverick,0.00,,,,,,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
18,Gemini-1.5-pro,0.00,,,,,,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73
19,o3,0.00,,,,,,0.48,0.33,0.36,0.82,0.42,0.71,0.55,0.59,0.71
20,mixtral-8x22b-instruct-v0.1,0.00,,,,,,0.59,0.52,0.54,0.80,0.49,0.67,0.60,0.62,0.67
21,mixtral-8x7b-instruct-v0.1,0.00,,,,,,0.51,0.42,0.46,0.73,0.42,0.63,0.54,0.57,0.62
22,nemotron-4-340b-instruct,0.00,,,,,,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72
23,llama3.3-70b-sft1,0.00,,,,,,0.69,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82
24,o4-mini,0.00,,,,,,0.49,0.32,0.34,0.82,0.45,0.71,0.55,0.60,0.71
25,pe_deepseek-r1-8b,0.00,,,34.66,30.62,36.91,,,,,,,,,
26,phi-3-medium-128k-instruct,0.00,,,,,,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39
27,phi-3-mini-128k-instruct,0.00,,,,,,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58
28,llama4-109b-lora1,0.00,,,,,,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75
29,llama3.1-8b-lora1,0.00,,,,,,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76
30,llama3.3-70b-lora1,0.00,,,,,,0.64,0.55,0.60,0.88,0.52,0.77,0.68,0.69,0.77
31,gemma-2-9b-it,0.00,,,,,,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69
32,claude-3-5-sonnet,0.00,,,,,,0.59,0.48,0.50,0.85,0.53,0.76,0.64,0.67,0.76
33,claude-3-7-sonnet-20250219,0.00,,,,,,0.63,0.50,0.53,0.87,0.59,0.76,0.64,0.67,0.76
34,claude-4-sonnet-20250514,0.00,,,,,,0.66,0.54,0.59,0.89,0.60,0.78,0.68,0.69,0.78
35,codestral-22b-instruct-v0.1,0.00,,,,,,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70
36,deepseek-r1,0.00,,,,,,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77
37,deepseek-r1-32b,0.00,,,,,,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70
38,deepseek-r1-8b,0.00,,,,,,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65
39,gemma-2-27b-it,0.00,,,,,,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71
40,gemma-2-2b-it,0.00,,,,,,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64
41,gemma-3-1b-it,0.00,,,,,,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.60,0.64
42,Gemini-2.5-pro,0.00,,,,,,0.53,0.37,0.44,0.82,0.46,0.67,0.54,0.57,0.67
43,gpt-4.1,0.00,,,,,,0.60,0.49,0.52,0.86,0.53,0.77,0.65,0.67,0.77
44,gpt-4.1-mini,0.00,,,,,,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74
45,gpt-4.1-nano,0.00,,,,,,0.58,0.47,0.51,0.84,0.51,0.71,0.59,0.63,0.71
46,gpt-4o,0.00,,,,,,0.61,0.49,0.51,0.86,0.56,0.76,0.65,0.68,0.76
47,gpt-4o-mini,0.00,,,,,,0.61,0.52,0.53,0.84,0.55,0.72,0.62,0.66,0.72
48,llama-3.1-405b-instruct,0.00,,,,,,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72
49,llama-3.1-70b-instruct,0.00,,,,,,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
50,llama-3.1-8b-instruct,0.00,,,,,,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66
51,llama-3.3-70b-instruct,0.00,,,,,,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73
52,qwen3-235b-a22b,0.00,,,,,,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
