Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f3,100.0,38.02970297029703,66.94059405940594,68.02970297029702,0.9238254970208422,0.9168764684937587,0.9255622452564157,0.976848071500633,0.8662112812639341,0.9649687742098882,0.9492357385339852,0.953412202353307,0.9648844715054176
2,gpt-4o-mini-f2,76.6917,35.12871287128713,51.92079207920792,55.722772277227726,,,,,,,,,
3,gpt-4o-mini-f1,71.1137,37.34313725490196,49.53921568627451,52.794117647058826,0.7610018690831344,0.7127500640826493,0.7261342501790496,0.9182337478684718,0.6770854926337396,0.8561899259821795,0.7934930738274938,0.8088971508722221,0.8554084276357461
4,claude-4-sonnet-20250514,58.4972,55.205882352941174,38.6764705882353,49.1764705882353,0.6550629810050326,0.5369677590982325,0.5875285073971065,0.8910913308291967,0.5948604051269669,0.7820617749623519,0.6831545070959694,0.6884629563658077,0.7811353571668171
5,llama3.3-70b-sft1,55.4667,38.68316831683168,37.28712871287129,43.0990099009901,0.6850489226766842,0.6079165637876103,0.6380023764272196,0.8982196951728636,0.5862531337504157,0.8162417850839553,0.7427394797759235,0.7525881557529985,0.815561916718016
6,claude-3-7-sonnet-20250219,49.8451,53.676767676767675,36.60606060606061,43.2020202020202,0.627229676639445,0.49939509870875565,0.5316564926744105,0.8736804712436979,0.5845788007936609,0.7629022758497568,0.6423293537971942,0.6696845610729938,0.7615843161299595
7,qwen3-235b-a22b,47.9128,54.627450980392155,31.5,42.11764705882353,0.6113152030727047,0.5064302355631795,0.5328365215149136,0.8482569976236215,0.5479331360204767,0.7542068116029627,0.6439751869082517,0.6729273483435029,0.7530323199297273
8,pe_gpt-4o-mini,47.068,52.3,34.92,41.22,0.6081756042058607,0.5237293119329176,0.541714610179536,0.8444561759497665,0.5129983971925951,0.7587799278208497,0.6597794741712384,0.6732833382569083,0.7576794575221577
9,llama4_maverick,46.816,43.57425742574257,33.06930693069307,41.198019801980195,0.6001592072822369,0.5083639594367318,0.5582339610811495,0.8546796499049935,0.4695553371374457,0.7654434164553309,0.6574885138583924,0.6786927807417386,0.7644071140987755
10,gpt-4o-mini,46.5907,43.21782178217822,34.45544554455446,41.801980198019805,0.6097373352956602,0.5188522378434691,0.5350207756680581,0.8375675512113534,0.5377048548911328,0.7243785142892125,0.6225322467501188,0.6598475632617541,0.7232023772550862
11,llama3.1-8b-lora1,46.4421,34.92156862745098,32.77450980392157,39.068627450980394,0.6358317078631643,0.5436864952809338,0.5808008953620782,0.8664776049362751,0.5425579143047429,0.759431828533072,0.6769943463274942,0.6833769890195175,0.7585630941416482
