Rank,Test Model,RankMetric,Score Document,Score Reference,Score Reference Document
1,gpt-4o-mini-f3,68.02970297029702,38.02970297029703,66.94059405940594,68.02970297029702
2,gpt-4o-mini-f2,55.722772277227726,35.12871287128713,51.92079207920792,55.722772277227726
3,gpt-4o-mini-f1,52.794117647058826,37.34313725490196,49.53921568627451,52.794117647058826
4,claude-4-sonnet-20250514,49.1764705882353,55.205882352941174,38.6764705882353,49.1764705882353
5,o3,46.46534653465346,66.9009900990099,37.20792079207921,46.46534653465346
6,claude-3-7-sonnet-20250219,43.2020202020202,53.676767676767675,36.60606060606061,43.2020202020202
7,llama3.3-70b-sft1,43.0990099009901,38.68316831683168,37.28712871287129,43.0990099009901
8,qwen3-235b-a22b,42.11764705882353,54.627450980392155,31.5,42.11764705882353
9,o4-mini,42.07920792079208,54.02970297029703,34.663366336633665,42.07920792079208
10,gpt-4o-mini,41.801980198019805,43.21782178217822,34.45544554455446,41.801980198019805
11,Gemini-2.5-pro,41.73267326732673,61.81188118811881,31.02970297029703,41.73267326732673
12,gpt-4.1-mini,41.53465346534654,54.2970297029703,31.92079207920792,41.53465346534654
13,pe_gpt-4o-mini,41.22,52.3,34.92,41.22
14,llama4_maverick,41.198019801980195,43.57425742574257,33.06930693069307,41.198019801980195
15,llama-3.3-70b-instruct,41.07843137254902,41.86274509803921,33.72549019607843,41.07843137254902
16,pe_llama-3.1-405b-instruct,40.872549019607845,41.833333333333336,34.970588235294116,40.872549019607845
17,llama4_scout,40.8235294117647,37.85294117647059,33.77450980392157,40.8235294117647
18,pe_deepseek-r1-32b,40.24,46.31,35.19,40.24
19,pe_llama-3.3-70b-instruct,40.12871287128713,48.554455445544555,35.37623762376238,40.12871287128713
20,gpt-4.1,40.12,55.49,34.37,40.12
21,pe_llama-3.1-70b-instruct,39.9009900990099,43.693069306930695,34.87128712871287,39.9009900990099
22,llama3.1-8b-f2,39.59803921568628,33.18627450980392,32.01960784313726,39.59803921568628
23,llama-3.1-70b-instruct,39.59405940594059,39.71287128712871,33.415841584158414,39.59405940594059
24,gpt-4.1-nano,39.51485148514851,38.306930693069305,31.0,39.51485148514851
25,Gemini,39.205882352941174,42.705882352941174,32.94117647058823,39.205882352941174
26,deepseek-r1-32b,39.09,34.0,33.3,39.09
27,llama3.1-8b-lora1,39.068627450980394,34.92156862745098,32.77450980392157,39.068627450980394
28,pe_llama-3.1-8b-instruct,39.05882352941177,37.22549019607843,33.18627450980392,39.05882352941177
29,llama-3.1-405b-instruct,39.03921568627451,38.029411764705884,33.088235294117645,39.03921568627451
30,pe_llama4_scout,39.009803921568626,48.254901960784316,34.068627450980394,39.009803921568626
31,mixtral-8x22b-instruct-v0.1,38.88235294117647,36.86274509803921,33.78431372549019,38.88235294117647
32,llama3.1-8b-f1,38.78217821782178,34.56435643564357,33.08910891089109,38.78217821782178
33,pe_llama4_maverick,38.63725490196079,43.53921568627451,31.735294117647058,38.63725490196079
34,codestral-22b-instruct-v0.1,37.99009900990099,39.21782178217822,32.46534653465346,37.99009900990099
35,deepseek-r1,37.93069306930693,53.801980198019805,32.59405940594059,37.93069306930693
36,mixtral-8x7b-instruct-v0.1,37.88,30.35,34.25,37.88
37,llama-3.1-8b-instruct,37.75247524752475,34.851485148514854,31.425742574257427,37.75247524752475
38,mistral-large-latest,37.65346534653465,44.24752475247525,33.34653465346535,37.65346534653465
39,gemma-2-27b-it,37.38235294117647,36.549019607843135,29.264705882352942,37.38235294117647
40,pe_deepseek-r1-8b,36.911764705882355,34.65686274509804,30.61764705882353,36.911764705882355
41,mistral-nemo-12b-instruct,36.42156862745098,31.813725490196077,29.745098039215687,36.42156862745098
42,nemotron-4-340b-instruct,35.336633663366335,40.148514851485146,30.504950495049506,35.336633663366335
43,deepseek-r1-8b,34.029411764705884,26.676470588235293,26.274509803921568,34.029411764705884
44,gpt-4o,33.90196078431372,49.36274509803921,28.284313725490197,33.90196078431372
45,claude-3-5-sonnet,33.745098039215684,52.78431372549019,25.852941176470587,33.745098039215684
46,gemma-2-9b-it,33.67326732673267,29.97029702970297,29.683168316831683,33.67326732673267
47,mamba-codestral-7b-v0.1,31.833333333333332,27.941176470588236,29.42156862745098,31.833333333333332
48,gemma-2-2b-it,31.07920792079208,24.613861386138613,27.603960396039604,31.07920792079208
49,phi-3-mini-128k-instruct,27.764705882352942,23.813725490196077,24.637254901960784,27.764705882352942
50,gemma-3-1b-it,27.673267326732674,28.336633663366335,25.673267326732674,27.673267326732674
51,phi-3-medium-128k-instruct,21.96039603960396,19.653465346534652,19.84158415841584,21.96039603960396
