,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm
codebleu,1.0000,0.8878,0.8844,0.8340,0.9075,0.8199,0.8911,0.8535,0.8212,0.2236,0.4746,0.5196
ngram_match_score,0.8878,1.0000,0.9771,0.6569,0.6772,0.7060,0.8471,0.7837,0.7082,0.0534,0.4991,0.4598
weighted_ngram_match_score,0.8844,0.9771,1.0000,0.6994,0.6640,0.7337,0.8653,0.7957,0.7362,0.0853,0.5020,0.4920
syntax_match_score,0.8340,0.6569,0.6994,1.0000,0.8080,0.9397,0.9010,0.9046,0.9404,0.4365,0.3850,0.5269
dataflow_match_score,0.9075,0.6772,0.6640,0.8080,1.0000,0.7556,0.7602,0.7633,0.7542,0.3318,0.3774,0.4488
rouge1,0.8199,0.7060,0.7337,0.9397,0.7556,1.0000,0.9516,0.9682,0.9999,0.5104,0.4903,0.5920
rouge2,0.8911,0.8471,0.8653,0.9010,0.7602,0.9516,1.0000,0.9758,0.9522,0.3288,0.4473,0.4909
rougeL,0.8535,0.7837,0.7957,0.9046,0.7633,0.9682,0.9758,1.0000,0.9686,0.4047,0.4212,0.4900
rougeLsum,0.8212,0.7082,0.7362,0.9404,0.7542,0.9999,0.9522,0.9686,1.0000,0.5074,0.4900,0.5935
score_document_norm,0.2236,0.0534,0.0853,0.4365,0.3318,0.5104,0.3288,0.4047,0.5074,1.0000,0.4663,0.6133
score_reference_norm,0.4746,0.4991,0.5020,0.3850,0.3774,0.4903,0.4473,0.4212,0.4900,0.4663,1.0000,0.7902
score_reference_document_norm,0.5196,0.4598,0.4920,0.5269,0.4488,0.5920,0.4909,0.4900,0.5935,0.6133,0.7902,1.0000
