Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results
1,deepseek-r1,77.14,1.17,0.47
2,llama4_maverick,76.23,1.13,0.44
3,llama-3.3-70b-instruct,73.77,1.04,0.34
4,llama-3.1-405b-instruct,71.91,0.86,0.38
5,deepseek-r1-32b,71.45,1.11,0.11
6,llama-3.1-70b-instruct,67.88,1.09,-0.15
7,llama-3.1-8b-instruct,67.63,1.04,-0.12
8,deepseek-r1-8b,65.35,0.9,-0.15
9,llama4_scout,64.09,0.35,0.31
10,llama3.3-70b-sft1,57.67,-0.94,1.11
11,llama3.3-70b-lora1,51.88,-0.94,0.67
12,llama3.1-8b-lora1,51.2,-0.94,0.62
13,llama4-109b-lora1,49.06,-0.94,0.46
14,qwen3-235b-a22b,48.92,-0.94,0.45
15,nemotron-4-340b-instruct,46.37,-0.94,0.26
16,phi-3-mini-128k-instruct,33.63,-0.94,-0.7
17,llama3.1-8b-f2,30.48,-0.94,
18,phi-3-medium-128k-instruct,12.93,-0.94,-2.27
