model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
deepseek-r1,52.595,44.732,43.373,0.622,0.52,0.542,0.863,0.544,0.783,0.669,0.686,0.781,100.0,1,1.499,0.719,0.771,0.565,0.74,0.633
qwen3-235b-a22b,49.596,44.744,44.232,0.607,0.508,0.527,0.844,0.538,0.753,0.644,0.679,0.752,98.29,2,1.227,0.72,0.855,0.454,0.575,0.589
mistral-medium-3-instruct,45.658,46.343,44.59,0.622,0.52,0.545,0.858,0.556,0.759,0.644,0.671,0.758,97.6,3,0.87,0.874,0.89,0.567,0.604,0.535
llama-3.1-405b-instruct,41.982,44.637,42.29,0.62,0.531,0.55,0.842,0.55,0.724,0.624,0.657,0.723,93.11,4,0.536,0.71,0.665,0.553,0.409,0.446
llama4_maverick,45.979,42.619,39.856,0.59,0.498,0.535,0.854,0.462,0.763,0.651,0.675,0.762,93.01,5,0.899,0.516,0.427,0.333,0.631,0.559
mistral-small-3.1-24b-instruct-2503,42.42,44.414,40.755,0.609,0.515,0.535,0.843,0.531,0.732,0.621,0.655,0.731,92.3,6,0.576,0.688,0.515,0.467,0.454,0.435
llama-3.1-70b-instruct,41.242,43.575,42.536,0.605,0.519,0.537,0.84,0.513,0.732,0.618,0.659,0.731,92.24,7,0.469,0.608,0.689,0.438,0.457,0.464
codestral-22b-instruct-v0.1,43.175,44.493,41.777,0.591,0.48,0.538,0.834,0.501,0.688,0.587,0.624,0.687,91.94,8,0.644,0.696,0.615,0.338,0.206,0.244
gemma-3-27b-it,42.284,41.399,41.149,0.603,0.505,0.525,0.849,0.522,0.741,0.623,0.657,0.74,90.95,9,0.563,0.399,0.553,0.425,0.503,0.448
llama-3.3-70b-instruct,41.974,42.817,39.623,0.599,0.511,0.532,0.836,0.507,0.732,0.619,0.651,0.731,90.47,10,0.535,0.535,0.404,0.399,0.452,0.409
mixtral-8x22b-instruct-v0.1,39.267,42.136,41.111,0.618,0.529,0.547,0.841,0.535,0.715,0.616,0.65,0.714,89.69,11,0.29,0.47,0.55,0.533,0.357,0.407
llama4_scout,38.708,42.294,40.676,0.593,0.499,0.517,0.836,0.51,0.71,0.607,0.636,0.709,88.61,12,0.239,0.485,0.507,0.354,0.33,0.319
deepseek-r1-32b,37.07,43.036,41.716,0.598,0.502,0.516,0.825,0.521,0.704,0.593,0.625,0.703,88.6,13,0.09,0.556,0.609,0.394,0.3,0.251
qwq-32b,44.896,39.605,36.807,0.55,0.407,0.453,0.835,0.495,0.688,0.56,0.605,0.686,86.79,14,0.8,0.227,0.129,0.046,0.206,0.124
gemma-2-27b-it,38.455,39.726,38.62,0.596,0.502,0.522,0.84,0.512,0.716,0.607,0.641,0.715,86.33,15,0.216,0.239,0.306,0.379,0.364,0.35
llama-3.1-8b-instruct,35.445,38.842,36.879,0.597,0.512,0.53,0.82,0.516,0.69,0.589,0.623,0.689,82.97,16,-0.057,0.154,0.136,0.384,0.221,0.238
mixtral-8x7b-instruct-v0.1,34.601,39.391,36.451,0.565,0.487,0.507,0.772,0.464,0.667,0.572,0.607,0.666,81.58,17,-0.134,0.207,0.094,0.153,0.091,0.137
mistral-nemo-12b-instruct,34.041,38.487,36.379,0.565,0.471,0.493,0.811,0.472,0.684,0.574,0.614,0.683,81.12,18,-0.185,0.12,0.087,0.15,0.186,0.181
gemma-2-9b-it,34.714,36.813,35.889,0.567,0.487,0.508,0.809,0.455,0.683,0.585,0.619,0.682,80.44,19,-0.124,-0.041,0.039,0.17,0.179,0.21
deepseek-r1-8b,30.42,36.758,35.265,0.581,0.484,0.504,0.816,0.48,0.671,0.574,0.609,0.67,77.97,20,-0.513,-0.046,-0.022,0.267,0.111,0.151
mamba-codestral-7b-v0.1,36.042,34.732,33.346,0.517,0.436,0.462,0.786,0.376,0.629,0.545,0.57,0.628,76.53,21,-0.003,-0.24,-0.21,-0.188,-0.123,-0.094
gemma-2-2b-it,30.624,34.837,33.021,0.551,0.472,0.493,0.795,0.433,0.662,0.571,0.612,0.661,75.37,22,-0.495,-0.23,-0.241,0.05,0.061,0.166
gemma-3-1b-it,31.219,31.781,30.216,0.542,0.459,0.491,0.783,0.415,0.639,0.559,0.597,0.638,72.01,23,-0.441,-0.523,-0.516,-0.011,-0.068,0.071
phi-3-medium-128k-instruct,26.159,29.898,28.827,0.549,0.481,0.497,0.766,0.445,0.647,0.561,0.584,0.646,67.96,24,-0.9,-0.704,-0.652,0.042,-0.021,-0.008
phi-3-mini-128k-instruct,26.111,28.242,26.134,0.479,0.37,0.426,0.733,0.375,0.581,0.492,0.524,0.58,62.88,25,-0.904,-0.863,-0.915,-0.468,-0.39,-0.381
phi-4-mini-instruct,9.358,9.059,6.716,0.143,0.039,0.049,0.207,0.216,0.079,0.052,0.071,0.079,16.88,26,-2.424,-2.703,-2.814,-2.885,-3.196,-3.218
qwen2-7b-instuct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,-3.273,-3.573,-3.471,-3.91,-3.64,-3.666
