Test Model,System,Round,Score Document,Score Reference,Score Reference Document
qwen3-32b-baseline,art,first,62.0,54.0,52.0
qwen3-32b-baseline,art,second,49.0,90.0,80.0
qwen3-32b-baseline,art,third,64.0,80.0,91.0
qwen3-32b-baseline,beam,first,59.0,34.0,25.0
qwen3-32b-baseline,beam,second,64.0,68.0,64.0
qwen3-32b-baseline,beam,third,69.0,68.0,58.0
qwen3-32b-baseline,buckling,first,78.0,54.0,64.0
qwen3-32b-baseline,buckling,second,59.0,83.0,69.0
qwen3-32b-baseline,buckling,third,64.0,39.0,39.0
qwen3-32b-baseline,cable,first,83.0,54.0,34.0
qwen3-32b-baseline,cable,second,64.0,88.0,67.0
qwen3-32b-baseline,cable,third,64.0,37.0,64.0
qwen3-32b-baseline,camera,first,57.0,62.0,25.0
qwen3-32b-baseline,camera,second,57.0,57.0,59.0
qwen3-32b-baseline,camera,third,60.0,64.0,72.0
qwen3-32b-baseline,citybus,first,59.0,64.0,42.0
qwen3-32b-baseline,citybus,second,62.0,64.0,77.0
qwen3-32b-baseline,citybus,third,59.0,65.0,81.0
qwen3-32b-baseline,curiosity,first,59.0,59.0,57.0
qwen3-32b-baseline,curiosity,second,64.0,57.0,44.0
qwen3-32b-baseline,curiosity,third,73.0,52.0,64.0
qwen3-32b-baseline,feda,first,59.0,29.0,19.0
qwen3-32b-baseline,feda,second,59.0,63.0,54.0
qwen3-32b-baseline,feda,third,54.0,62.0,77.0
qwen3-32b-baseline,gator,first,62.0,54.0,54.0
qwen3-32b-baseline,gator,second,59.0,64.0,62.0
qwen3-32b-baseline,gator,third,54.0,80.0,81.0
qwen3-32b-baseline,gear,first,59.0,47.0,57.0
qwen3-32b-baseline,gear,second,64.0,93.0,88.0
qwen3-32b-baseline,gear,third,64.0,62.0,44.0
qwen3-32b-baseline,gps_imu,first,59.0,62.0,54.0
qwen3-32b-baseline,gps_imu,second,44.0,57.0,42.0
qwen3-32b-baseline,gps_imu,third,77.0,88.0,79.0
qwen3-32b-baseline,handler,first,57.0,57.0,47.0
qwen3-32b-baseline,handler,second,57.0,70.0,55.0
qwen3-32b-baseline,handler,third,59.0,57.0,59.0
qwen3-32b-baseline,hmmwv,first,67.0,64.0,59.0
qwen3-32b-baseline,hmmwv,second,59.0,54.0,59.0
qwen3-32b-baseline,hmmwv,third,83.0,72.0,78.0
qwen3-32b-baseline,kraz,first,64.0,17.0,42.0
qwen3-32b-baseline,kraz,second,54.0,27.0,32.0
qwen3-32b-baseline,kraz,third,59.0,49.0,64.0
qwen3-32b-baseline,lidar,first,60.0,55.0,50.0
qwen3-32b-baseline,lidar,second,27.0,72.0,62.0
qwen3-32b-baseline,lidar,third,55.0,37.0,34.0
qwen3-32b-baseline,m113,first,59.0,25.0,34.0
qwen3-32b-baseline,m113,second,54.0,64.0,69.0
qwen3-32b-baseline,m113,third,65.0,64.0,53.0
qwen3-32b-baseline,man,first,64.0,64.0,38.0
qwen3-32b-baseline,man,second,59.0,64.0,62.0
qwen3-32b-baseline,man,third,93.0,39.0,39.0
qwen3-32b-baseline,mass_spring_damper,first,59.0,55.0,44.0
qwen3-32b-baseline,mass_spring_damper,second,67.0,54.0,60.0
