model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
deepseek-r1,52.595,44.732,43.373,0.622,0.52,0.542,0.863,0.544,0.783,0.669,0.686,0.781,100.0,1,1.499,0.719,0.771,0.646,0.857,0.709
qwen3-235b-a22b,49.596,44.744,44.232,0.607,0.508,0.527,0.844,0.538,0.753,0.644,0.679,0.752,97.84,2,1.227,0.72,0.855,0.474,0.621,0.645
mistral-medium-3-instruct,45.658,46.343,44.59,0.622,0.52,0.545,0.858,0.556,0.759,0.644,0.671,0.758,97.23,3,0.87,0.874,0.89,0.649,0.663,0.567
llama-3.1-405b-instruct,41.982,44.637,42.29,0.62,0.531,0.55,0.842,0.55,0.724,0.624,0.657,0.723,92.21,4,0.536,0.71,0.665,0.628,0.384,0.44
llama4_maverick,45.979,42.619,39.856,0.59,0.498,0.535,0.854,0.462,0.763,0.651,0.675,0.762,92.15,5,0.899,0.516,0.427,0.285,0.702,0.602
mistral-small-3.1-24b-instruct-2503,42.42,44.414,40.755,0.609,0.515,0.535,0.843,0.531,0.732,0.621,0.655,0.731,91.27,6,0.576,0.688,0.515,0.493,0.449,0.424
llama-3.1-70b-instruct,41.242,43.575,42.536,0.605,0.519,0.537,0.84,0.513,0.732,0.618,0.659,0.731,91.2,7,0.469,0.608,0.689,0.449,0.453,0.465
codestral-22b-instruct-v0.1,43.175,44.493,41.777,0.591,0.48,0.538,0.834,0.501,0.688,0.587,0.624,0.687,90.28,8,0.644,0.696,0.615,0.292,0.095,0.148
gemma-3-27b-it,42.284,41.399,41.149,0.603,0.505,0.525,0.849,0.522,0.741,0.623,0.657,0.74,89.87,9,0.563,0.399,0.553,0.428,0.519,0.442
llama-3.3-70b-instruct,41.974,42.817,39.623,0.599,0.511,0.532,0.836,0.507,0.732,0.619,0.651,0.731,89.24,10,0.535,0.535,0.404,0.388,0.446,0.386
mixtral-8x22b-instruct-v0.1,39.267,42.136,41.111,0.618,0.529,0.547,0.841,0.535,0.715,0.616,0.65,0.714,88.49,11,0.29,0.47,0.55,0.597,0.311,0.384
llama4_scout,38.708,42.294,40.676,0.593,0.499,0.517,0.836,0.51,0.71,0.607,0.636,0.709,87.0,12,0.239,0.485,0.507,0.317,0.272,0.257
deepseek-r1-32b,37.07,43.036,41.716,0.598,0.502,0.516,0.825,0.521,0.704,0.593,0.625,0.703,86.95,13,0.09,0.556,0.609,0.381,0.229,0.16
gemma-2-27b-it,38.455,39.726,38.62,0.596,0.502,0.522,0.84,0.512,0.716,0.607,0.641,0.715,84.7,14,0.216,0.239,0.306,0.356,0.32,0.302
qwq-32b,44.896,39.605,36.807,0.55,0.407,0.453,0.835,0.495,0.688,0.56,0.605,0.686,84.35,15,0.8,0.227,0.129,-0.163,0.095,-0.023
llama-3.1-8b-instruct,35.445,38.842,36.879,0.597,0.512,0.53,0.82,0.516,0.69,0.589,0.623,0.689,80.92,16,-0.057,0.154,0.136,0.365,0.116,0.141
mixtral-8x7b-instruct-v0.1,34.601,39.391,36.451,0.565,0.487,0.507,0.772,0.464,0.667,0.572,0.607,0.666,78.91,17,-0.134,0.207,0.094,0.005,-0.069,-0.004
mistral-nemo-12b-instruct,34.041,38.487,36.379,0.565,0.471,0.493,0.811,0.472,0.684,0.574,0.614,0.683,78.57,18,-0.185,0.12,0.087,0.0,0.066,0.058
gemma-2-9b-it,34.714,36.813,35.889,0.567,0.487,0.508,0.809,0.455,0.683,0.585,0.619,0.682,77.9,19,-0.124,-0.041,0.039,0.031,0.056,0.101
deepseek-r1-8b,30.42,36.758,35.265,0.581,0.484,0.504,0.816,0.48,0.671,0.574,0.609,0.67,75.3,20,-0.513,-0.046,-0.022,0.183,-0.04,0.016
mamba-codestral-7b-v0.1,36.042,34.732,33.346,0.517,0.436,0.462,0.786,0.376,0.629,0.545,0.57,0.628,72.69,21,-0.003,-0.24,-0.21,-0.526,-0.376,-0.338
gemma-2-2b-it,30.624,34.837,33.021,0.551,0.472,0.493,0.795,0.433,0.662,0.571,0.612,0.661,72.24,22,-0.495,-0.23,-0.241,-0.155,-0.112,0.037
gemma-3-1b-it,31.219,31.781,30.216,0.542,0.459,0.491,0.783,0.415,0.639,0.559,0.597,0.638,68.4,23,-0.441,-0.523,-0.516,-0.251,-0.296,-0.099
phi-3-medium-128k-instruct,26.159,29.898,28.827,0.549,0.481,0.497,0.766,0.445,0.647,0.561,0.584,0.646,64.18,24,-0.9,-0.704,-0.652,-0.168,-0.229,-0.214
phi-3-mini-128k-instruct,26.111,28.242,26.134,0.479,0.37,0.426,0.733,0.375,0.581,0.492,0.524,0.58,57.39,25,-0.904,-0.863,-0.915,-0.963,-0.756,-0.75
qwen3-7b-instuct,0.0,0.0,0.0,0.563,0.457,0.481,0.822,0.484,0.674,0.566,0.605,0.673,20.78,26,-3.273,-3.573,-3.471,-0.012,-0.011,-0.021
phi-4-mini-instruct,9.358,9.059,6.716,0.143,0.039,0.049,0.207,0.216,0.079,0.052,0.071,0.079,0.0,27,-2.424,-2.703,-2.814,-4.728,-4.763,-4.832
