Rank,model,ConsensusScore,System,Round,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f3,100.00,,,38.03,66.94,68.03,0.38,0.31,0.32,0.34,0.30,0.34,0.33,0.34,0.34
2,gpt-4o-mini-f2,81.91,,,35.13,51.92,55.72,,,,,,,,,
3,gpt-4o-mini-f1,77.60,,,37.34,49.54,52.79,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86
4,qwen3-235b-a22b,72.52,,,53.47,57.25,49.33,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
5,deepseek-r1,69.78,,,49.74,59.89,47.47,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77
6,llama3.3-70b-sft1,67.75,,,47.62,58.57,46.09,0.69,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82
7,llama3.1-8b-f2,65.99,,,42.68,55.95,44.89,,,,,,,,,
8,llama-3.1-70b-instruct,64.69,,,47.68,56.36,44.01,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
9,llama4_maverick,64.39,,,48.51,58.67,43.80,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
10,llama-3.1-405b-instruct,64.36,,,47.41,51.90,43.78,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72
11,llama4_scout,63.01,,,46.44,51.02,42.86,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
12,llama4-109b-lora1,62.88,,,44.74,54.22,42.77,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75
13,llama-3.3-70b-instruct,61.97,,,47.14,57.62,42.16,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73
14,llama3.3-70b-lora1,60.73,,,40.76,51.60,41.31,0.64,0.55,0.60,0.88,0.52,0.77,0.68,0.69,0.77
15,pe_gpt-4o-mini,60.59,,,52.30,34.92,41.22,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76
16,llama-3.1-8b-instruct,60.18,,,40.12,49.02,40.94,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66
17,pe_llama-3.1-405b-instruct,60.08,,,41.83,34.97,40.87,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75
18,llama3.1-8b-lora1,59.75,,,47.25,53.74,40.65,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76
19,pe_deepseek-r1-32b,59.15,,,46.31,35.19,40.24,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75
20,pe_llama-3.3-70b-instruct,58.99,,,48.55,35.38,40.13,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74
21,pe_llama-3.1-70b-instruct,58.65,,,43.69,34.87,39.90,,,,,,,,,
22,deepseek-r1-32b,58.54,,,44.45,52.70,39.82,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70
23,nemotron-4-340b-instruct,58.25,,,47.11,49.34,39.63,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72
24,pe_llama-3.1-8b-instruct,57.41,,,37.23,33.19,39.06,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72
