Rank, model                      , ConsensusScore, Score Document, Score Reference, Score Reference Document, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
   1, llama3.3-70b-sft1          ,          60.25,          46.09,           45.47,                    44.53,     0.69,              0.61,                       0.64,               0.90,                 0.59,   0.82,   0.74,   0.75,      0.82
   2, llama3.1-8b-f2             ,          58.00,          44.36,           44.11,                    40.83,     0.67,              0.59,                       0.62,               0.89,                 0.57,   0.80,   0.72,   0.72,      0.80
   3, deepseek-r1                ,          57.96,          55.60,           44.13,                    42.02,     0.61,              0.50,                       0.51,               0.85,                 0.54,   0.77,   0.65,   0.68,      0.77
   4, qwen3-235b-a22b            ,          57.48,          55.08,           44.58,                    41.31,     0.61,              0.51,                       0.53,               0.85,                 0.55,   0.75,   0.64,   0.67,      0.75
   5, llama4_maverick            ,          56.24,          48.90,           43.59,                    40.51,     0.60,              0.51,                       0.56,               0.85,                 0.47,   0.77,   0.66,   0.68,      0.76
   6, gemma-3-27b-it             ,          55.96,          48.15,           42.24,                    38.60,     0.62,              0.53,                       0.55,               0.86,                 0.54,   0.77,   0.66,   0.68,      0.77
   7, mistral-large-latest       ,          55.13,          48.25,           42.27,                    39.18,     0.60,              0.50,                       0.52,               0.84,                 0.53,   0.74,   0.63,   0.67,      0.74
   8, llama3.3-70b-lora1         ,          55.04,          39.24,           42.25,                    38.87,     0.64,              0.55,                       0.60,               0.88,                 0.52,   0.77,   0.68,   0.69,      0.77
   9, llama-3.1-405b-instruct    ,          54.39,          41.92,           42.71,                    42.14,     0.62,              0.53,                       0.55,               0.83,                 0.56,   0.72,   0.62,   0.66,      0.72
  10, llama-3.3-70b-instruct     ,          54.26,          43.71,           42.29,                    39.82,     0.60,              0.52,                       0.54,               0.84,                 0.50,   0.74,   0.62,   0.66,      0.73
  11, llama4-109b-lora1          ,          54.22,          40.93,           41.19,                    40.28,     0.62,              0.53,                       0.55,               0.85,                 0.53,   0.75,   0.65,   0.66,      0.75
  12, llama4_scout               ,          53.90,          43.53,           42.64,                    39.88,     0.61,              0.51,                       0.53,               0.84,                 0.53,   0.72,   0.61,   0.64,      0.72
  13, codestral-22b-instruct-v0.1,          53.75,          44.41,           42.08,                    40.69,     0.61,              0.52,                       0.54,               0.84,                 0.53,   0.70,   0.61,   0.65,      0.70
  14, llama3.1-8b-lora1          ,          53.55,          37.08,           40.48,                    35.90,     0.64,              0.54,                       0.58,               0.87,                 0.54,   0.76,   0.68,   0.68,      0.76
  15, llama-3.1-70b-instruct     ,          52.92,          44.94,           41.49,                    41.57,     0.54,              0.51,                       0.53,               0.67,                 0.33,   0.71,   0.61,   0.64,      0.71
  16, mixtral-8x22b-instruct-v0.1,          52.38,          42.23,           43.70,                    40.22,     0.59,              0.52,                       0.54,               0.80,                 0.49,   0.67,   0.60,   0.62,      0.67
  17, gemma-2-27b-it             ,          52.15,          42.73,           40.48,                    35.77,     0.59,              0.50,                       0.52,               0.83,                 0.50,   0.71,   0.61,   0.64,      0.71
  18, nemotron-4-340b-instruct   ,          51.86,          39.01,           39.42,                    36.47,     0.60,              0.49,                       0.53,               0.84,                 0.52,   0.72,   0.61,   0.64,      0.72
  19, deepseek-r1-32b            ,          50.87,          39.17,           38.60,                    36.94,     0.59,              0.49,                       0.51,               0.83,                 0.51,   0.70,   0.58,   0.62,      0.70
  20, gemma-2-9b-it              ,          49.79,          36.98,           37.08,                    35.57,     0.58,              0.49,                       0.51,               0.82,                 0.47,   0.69,   0.59,   0.63,      0.69
  21, llama-3.1-8b-instruct      ,          48.43,          33.88,           37.03,                    36.95,     0.57,              0.49,                       0.52,               0.76,                 0.46,   0.66,   0.57,   0.60,      0.66
  22, mistral-nemo-12b-instruct  ,          47.69,          35.19,           38.02,                    34.43,     0.55,              0.44,                       0.47,               0.79,                 0.46,   0.65,   0.55,   0.58,      0.65
  23, deepseek-r1-8b             ,          46.85,          33.37,           34.11,                    32.87,     0.57,              0.47,                       0.49,               0.79,                 0.49,   0.65,   0.56,   0.59,      0.65
  24, mixtral-8x7b-instruct-v0.1 ,          46.58,          33.59,           39.47,                    35.84,     0.51,              0.42,                       0.46,               0.73,                 0.42,   0.63,   0.54,   0.57,      0.62
  25, gemma-3-1b-it              ,          45.62,          32.99,           33.29,                    28.87,     0.54,              0.46,                       0.49,               0.78,                 0.39,   0.64,   0.56,   0.60,      0.64
  26, gemma-2-2b-it              ,          45.03,          29.55,           32.92,                    29.80,     0.54,              0.46,                       0.48,               0.79,                 0.43,   0.64,   0.56,   0.60,      0.64
  27, mamba-codestral-7b-v0.1    ,          42.10,          31.73,           34.90,                    29.79,     0.47,              0.39,                       0.41,               0.72,                 0.36,   0.57,   0.49,   0.52,      0.57
  28, phi-3-mini-128k-instruct   ,          41.70,          27.22,           32.00,                    27.19,     0.51,              0.39,                       0.45,               0.77,                 0.41,   0.59,   0.51,   0.54,      0.59
  29, phi-3-medium-128k-instruct ,          29.48,          20.98,           21.80,                    22.90,     0.37,              0.24,                       0.26,               0.55,                 0.26,   0.39,   0.31,   0.35,      0.39
