```python
import pychrono.core as chrono
import pychrono.sensor as sens

import numpy as np
import time
import math

# -----------------
# System Initialization
# -----------------
mphysicalSystem = chrono.ChSystemNSC()

# Create an ARTcar vehicle
artcar = chrono.ChArtcarVehicle(mphysicalSystem)
artcar.SetPos(chrono.ChVector3d(0, 0, 0))
artcar.SetFixed(True)

# Add a terrain
terrain = chrono.ChTerrain(
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(10, 10, 10),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector3d(1, 1, 1),
    chrono.ChVector3d(0, 0, 0),
    chrono.ChVector
