Rank,GPT-4o-mini Model,GPT-4o-mini Score,GPT-4.1-mini Model,GPT-4.1-mini Score
1,llama3.3-70b-sft1,68.19,deepseek-r1,77.14
2,llama3.3-70b-lora1,65.18,llama4_maverick,76.23
3,qwen3-235b-a22b,60.09,llama-3.3-70b-instruct,73.77
4,llama4_maverick,58.6,llama-3.1-405b-instruct,71.91
5,llama-3.3-70b-instruct,57.46,deepseek-r1-32b,71.45
6,llama3.1-8b-lora1,57.29,llama-3.1-70b-instruct,67.88
7,llama4_scout,56.72,llama-3.1-8b-instruct,67.63
8,llama4-109b-lora1,56.02,deepseek-r1-8b,65.35
9,llama-3.1-405b-instruct,54.84,llama4_scout,64.09
10,deepseek-r1,54.07,llama3.3-70b-sft1,57.67
11,deepseek-r1-32b,52.13,llama3.3-70b-lora1,51.88
12,llama3.1-8b-f2,51.99,llama3.1-8b-lora1,51.2
13,llama-3.1-70b-instruct,50.36,llama4-109b-lora1,49.06
14,nemotron-4-340b-instruct,48.07,qwen3-235b-a22b,48.92
15,llama-3.1-8b-instruct,47.86,nemotron-4-340b-instruct,46.37
16,deepseek-r1-8b,42.0,phi-3-mini-128k-instruct,33.63
17,phi-3-mini-128k-instruct,27.16,llama3.1-8b-f2,30.48
18,phi-3-medium-128k-instruct,2.84,phi-3-medium-128k-instruct,12.93
