model,Score_reference_document__gpt-4.1-mini_x,Rank,Score_document__gpt-4.1-mini,Score_reference__gpt-4.1-mini,Score_reference_document__gpt-4.1-mini_y
Gemini-1.5-pro,,1,,,
Gemini-2.5-pro,,2,,,
claude-3-5-sonnet,,3,,,
claude-3-7-sonnet-20250219,,4,,,
claude-4-sonnet-20250514,,5,,,
codestral-22b-instruct-v0.1,,6,,,
deepseek-r1,,7,,,
deepseek-r1-32b,,8,,,
deepseek-r1-8b,,9,,,
gemma-2-27b-it,,10,,,
gemma-2-2b-it,,11,,,
gemma-2-9b-it,,12,,,
gemma-3-1b-it,,13,,,
gemma-3-27b-it,,14,,,
gpt-4.1,,15,,,
gpt-4.1-mini,,16,,,
gpt-4.1-nano,,17,,,
gpt-4o,,18,,,
gpt-4o-mini,,19,,,
gpt-4o-mini-f1,,20,,,
gpt-4o-mini-f3,,21,,,
llama-3.1-405b-instruct,,22,,,
llama-3.1-70b-instruct,,23,,,
llama-3.1-8b-instruct,,24,,,
llama-3.3-70b-instruct,,25,,,
llama3.1-8b-f1,,26,,,
llama3.1-8b-lora1,,27,,,
llama3.3-70b-lora1,,28,,,
llama3.3-70b-sft1,,29,,,
llama4-109b-lora1,,30,,,
llama4_maverick,,31,,,
llama4_scout,,32,,,
mamba-codestral-7b-v0.1,,33,,,
mistral-large-latest,,34,,,
mistral-nemo-12b-instruct,,35,,,
mixtral-8x22b-instruct-v0.1,,36,,,
mixtral-8x7b-instruct-v0.1,,37,,,
nemotron-4-340b-instruct,,38,,,
o3,,39,,,
o4-mini,,40,,,
pe_deepseek-r1-32b,,41,,,
pe_gpt-4o-mini,,42,,,
pe_llama-3.1-405b-instruct,,43,,,
pe_llama-3.1-8b-instruct,,44,,,
pe_llama-3.3-70b-instruct,,45,,,
pe_llama4_scout,,46,,,
phi-3-medium-128k-instruct,,47,,,
phi-3-mini-128k-instruct,,48,,,
qwen3-235b-a22b,,49,,,
