System,Score_Avg_mean,Score_Avg_std,Score_Avg_min,Score_Avg_max,Score_Avg_count,Score_Doc_mean,Score_Ref_mean,Score_RefDoc_mean,Difficulty_Rank
art,52.74,24.55,0.67,89.33,152,38.86,59.37,59.98,1
slider_crank,47.76,18.21,1.33,79.33,153,53.97,44.02,45.29,2
beam,47.01,21.14,5.67,81.67,153,51.76,43.53,45.73,3
rigid_highway,45.77,21.01,1.67,83.33,152,37.2,46.95,53.17,4
particles,44.88,18.88,3.33,74.0,153,48.87,39.73,46.05,5
cable,44.09,20.94,10.33,87.67,152,52.14,37.22,42.92,6
viper,44.0,20.66,7.33,83.67,152,53.02,36.55,42.45,7
rotor,43.52,20.81,0.0,89.33,153,45.97,38.83,45.75,8
mass_spring_damper,43.08,16.32,6.33,76.33,153,48.67,37.61,42.96,9
gear,42.48,21.18,2.33,79.67,153,46.82,38.2,42.43,10
handler,42.14,18.87,3.33,79.0,153,51.89,36.14,38.4,11
citybus,42.01,19.78,2.33,85.67,153,35.46,42.97,47.59,12
curiosity,41.99,16.05,7.33,76.33,152,49.59,35.3,41.1,13
turtlebot,40.6,20.16,0.67,83.33,152,52.46,32.04,37.3,14
gps_imu,39.71,20.54,5.67,82.0,151,40.49,35.09,43.55,15
tablecloth,39.47,17.22,3.33,79.0,153,40.9,35.41,42.1,16
pendulum,39.2,16.77,0.0,86.33,153,52.9,29.31,35.38,17
rigid_multipatches,38.98,18.22,7.33,83.0,153,37.75,37.84,41.35,18
gator,38.31,19.7,3.33,82.0,153,35.63,35.37,43.93,19
buckling,36.94,21.03,4.67,84.33,150,46.88,29.46,34.48,20
uazbus,36.78,18.25,2.33,87.0,149,37.07,33.56,39.7,21
hmmwv,34.49,16.24,4.0,73.67,146,40.28,27.27,35.9,22
sensros,34.27,18.36,0.0,79.67,152,33.55,32.15,37.11,23
man,34.01,16.22,2.33,80.33,153,35.76,28.93,37.35,24
vehros,31.64,15.8,0.67,66.0,152,42.8,22.59,29.53,25
camera,30.96,16.06,2.33,68.33,152,32.18,29.33,31.36,26
kraz,30.79,16.72,5.0,69.0,152,33.71,25.07,33.6,27
scm,30.21,15.0,1.67,85.67,153,34.19,24.5,31.93,28
feda,29.78,14.9,2.33,78.33,151,29.39,25.98,33.96,29
scm_hill,29.59,14.58,0.67,71.67,153,33.27,23.8,31.71,30
m113,29.44,12.81,0.67,68.0,151,30.89,26.19,31.25,31
sedan,27.27,11.48,4.67,64.67,153,34.01,18.32,29.46,32
veh_app,27.24,13.22,1.33,63.67,152,28.8,20.59,32.33,33
lidar,22.01,11.84,0.67,67.33,148,26.91,15.24,23.88,34
